DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
svhn,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,1,TRAIN,LOSS,2.377941355195664
svhn,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,1,TRAIN,ACC1,17.09051694718593
svhn,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,1,HYPER,LR,0.01
svhn,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,1,VALID,LOSS,9.67491544501944
svhn,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,1,VALID,ACC1,6.699446834665023
svhn,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,2,TRAIN,LOSS,2.3312889919144055
svhn,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,2,TRAIN,ACC1,16.184118923788848
svhn,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,2,HYPER,LR,0.01
svhn,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,2,VALID,LOSS,2.4361626335500426
svhn,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,2,VALID,ACC1,19.58743085433313
svhn,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,3,TRAIN,LOSS,2.316592620293498
svhn,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,3,TRAIN,ACC1,16.579985530393003
svhn,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,3,HYPER,LR,0.01
svhn,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,3,VALID,LOSS,7.9069517773943
svhn,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,3,VALID,ACC1,11.070989551321453
svhn,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,4,TRAIN,LOSS,2.311871586523935
svhn,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,4,TRAIN,ACC1,16.394337742468302
svhn,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,4,HYPER,LR,0.01
svhn,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,4,VALID,LOSS,290.903131823783
