DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,1,TRAIN,LOSS,2.3598761764773557
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,1,TRAIN,ACC1,18.37776594728149
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,1,HYPER,LR,0.01
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,1,VALID,LOSS,2.2289625556467496
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,1,VALID,ACC1,19.58743085433313
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,2,TRAIN,LOSS,2.2450196911336806
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,2,TRAIN,ACC1,18.461034440394776
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,2,HYPER,LR,0.01
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,2,VALID,LOSS,2.233106063199175
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,2,VALID,ACC1,19.58743085433313
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,3,TRAIN,LOSS,2.2455583884180106
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,3,TRAIN,ACC1,18.675348430866677
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,3,HYPER,LR,0.01
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,3,VALID,LOSS,2.2358226707249824
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,3,VALID,ACC1,19.58743085433313
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,4,TRAIN,LOSS,2.2445415425187014
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,4,TRAIN,ACC1,18.431003180583428
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,4,HYPER,LR,0.01
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,4,VALID,LOSS,2.239795266006648
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,4,VALID,ACC1,19.58743085433313
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,5,TRAIN,LOSS,2.2448702539209666
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,5,TRAIN,ACC1,18.600270281338304
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,5,HYPER,LR,0.01
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,5,VALID,LOSS,2.2373976906751225
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,5,VALID,ACC1,19.58743085433313
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,6,TRAIN,LOSS,2.2451878965624292
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,6,TRAIN,ACC1,18.503351215583496
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,6,HYPER,LR,0.01
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,6,VALID,LOSS,2.228663561163904
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,6,VALID,ACC1,19.58743085433313
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,7,TRAIN,LOSS,2.2459294295407632
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,7,TRAIN,ACC1,18.649412342847782
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,7,HYPER,LR,0.01
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,7,VALID,LOSS,2.2350693165193545
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,7,VALID,ACC1,19.58743085433313
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,8,TRAIN,LOSS,2.245402601779769
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,8,TRAIN,ACC1,18.658967743696852
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,8,HYPER,LR,0.01
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,8,VALID,LOSS,2.2293359480097608
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,8,VALID,ACC1,19.58743085433313
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,9,TRAIN,LOSS,2.2454754655236235
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,9,TRAIN,ACC1,18.56477879247035
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,9,HYPER,LR,0.01
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,9,VALID,LOSS,2.231211746845351
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,9,VALID,ACC1,19.58743085433313
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,10,TRAIN,LOSS,2.2454137164264742
