DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,1,TRAIN,LOSS,2.3481698575700625
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,1,TRAIN,ACC1,18.407797207092834
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,1,HYPER,LR,0.01
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,1,VALID,LOSS,2.2294699801355327
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,1,VALID,ACC1,19.57974800245851
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,2,TRAIN,LOSS,2.246445206216417
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,2,TRAIN,ACC1,18.39687674897962
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,2,HYPER,LR,0.01
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,2,VALID,LOSS,2.2330501100074756
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,2,VALID,ACC1,19.58743085433313
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,3,TRAIN,LOSS,2.245566669988589
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,3,TRAIN,ACC1,18.675348430866677
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,3,HYPER,LR,0.01
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,3,VALID,LOSS,2.2358423948434503
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,3,VALID,ACC1,19.58743085433313
svhn,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,4,TRAIN,LOSS,2.244550123380964
