DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,1,TRAIN,LOSS,1.2873407807908248
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,1,TRAIN,ACC1,55.142853242693526
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,1,HYPER,LR,0.10009999677581337
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,1,VALID,LOSS,0.5621193223887597
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,1,VALID,ACC1,81.3460356484327
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,2,TRAIN,LOSS,0.4056235376234854
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,2,TRAIN,ACC1,87.45375868517684
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,2,HYPER,LR,0.10009999586006245
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,2,VALID,LOSS,0.37956896002994556
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,2,VALID,ACC1,88.67547633681623
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,3,TRAIN,LOSS,0.31922508230938873
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,3,TRAIN,ACC1,90.37907640225508
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,3,HYPER,LR,0.10009999468421503
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,3,VALID,LOSS,0.3322301572389081
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,3,VALID,ACC1,89.95851259987707
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,4,TRAIN,LOSS,0.27791107400788223
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,4,TRAIN,ACC1,91.6526748297091
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,4,HYPER,LR,0.10009999317439709
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,4,VALID,LOSS,0.2318188970760839
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,4,VALID,ACC1,93.43116164720344
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,5,TRAIN,LOSS,0.2487600260042745
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,5,TRAIN,ACC1,92.77611695810639
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,5,HYPER,LR,0.10009999123575256
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,5,VALID,LOSS,0.2515525052847127
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,5,VALID,ACC1,92.76275353411187
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,6,TRAIN,LOSS,0.2299116746473757
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,6,TRAIN,ACC1,93.3330603218805
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,6,HYPER,LR,0.10009998874648379
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,6,VALID,LOSS,0.21486034384426633
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,6,VALID,ACC1,93.86524277811924
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,7,TRAIN,LOSS,0.21473869603289816
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,7,TRAIN,ACC1,93.78762439084319
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,7,HYPER,LR,0.10009998555019961
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,7,VALID,LOSS,0.20351511711219225
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,7,VALID,ACC1,94.23017824216349
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,8,TRAIN,LOSS,0.19871239451074185
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,8,TRAIN,ACC1,94.279045005938
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,8,HYPER,LR,0.10009998144608981
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,8,VALID,LOSS,0.1943412546226417
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,8,VALID,ACC1,94.5221266133989
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,9,TRAIN,LOSS,0.1915215650948129
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,9,TRAIN,ACC1,94.57526243225904
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,9,HYPER,LR,0.100099976176309
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,9,VALID,LOSS,0.18320644274582948
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,9,VALID,ACC1,94.7641364474493
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,10,TRAIN,LOSS,0.18085918381950744
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,10,TRAIN,ACC1,94.82916308339135
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,10,HYPER,LR,0.1000999694097773
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,10,VALID,LOSS,0.1818333406873693
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,10,VALID,ACC1,94.9638905961893
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,11,TRAIN,LOSS,0.1717024663621157
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,11,TRAIN,ACC1,95.13493591056145
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,11,HYPER,LR,0.10009996072137997
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,11,VALID,LOSS,0.19011421096823153
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,11,VALID,ACC1,94.59895513214505
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,12,TRAIN,LOSS,0.1657946526862669
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,12,TRAIN,ACC1,95.33150415659937
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,12,HYPER,LR,0.1000999495652592
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,12,VALID,LOSS,0.198011595497083
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,12,VALID,ACC1,94.42609096496619
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,13,TRAIN,LOSS,0.1581846415156064
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,13,TRAIN,ACC1,95.55127837612788
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,13,HYPER,LR,0.10009993524052017
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,13,VALID,LOSS,0.19298537501397864
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,13,VALID,ACC1,94.74877074370006
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,14,TRAIN,LOSS,0.1504204587533073
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,14,TRAIN,ACC1,95.74375145037335
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,14,HYPER,LR,0.10009991684719721
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,14,VALID,LOSS,0.16444897771422015
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,14,VALID,ACC1,95.4402274124155
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,15,TRAIN,LOSS,0.1456494399715078
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,15,TRAIN,ACC1,95.8625114323546
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,15,HYPER,LR,0.10009989322971298
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,15,VALID,LOSS,0.1852312223698438
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,15,VALID,ACC1,94.82944068838353
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,16,TRAIN,LOSS,0.13697774131544402
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,16,TRAIN,ACC1,96.26520332527949
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,16,HYPER,LR,0.1000998629042793
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,16,VALID,LOSS,0.1705629703735895
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,16,VALID,ACC1,95.40949600491703
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,17,TRAIN,LOSS,0.13331998120306107
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,17,TRAIN,ACC1,96.31161527226068
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,17,HYPER,LR,0.10009982396567868
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,17,VALID,LOSS,0.17259023690707273
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,17,VALID,ACC1,95.39413030116779
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,18,TRAIN,LOSS,0.12619458425404154
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,18,TRAIN,ACC1,96.46040651405326
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,18,HYPER,LR,0.1000997739675702
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,18,VALID,LOSS,0.15909563784831568
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,18,VALID,ACC1,95.82052858020897
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,19,TRAIN,LOSS,0.1215937846179838
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,19,TRAIN,ACC1,96.62148327122323
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,19,HYPER,LR,0.10009970976880148
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,19,VALID,LOSS,0.17269675772621101
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,19,VALID,ACC1,95.4940073755378
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,20,TRAIN,LOSS,0.11874081891464403
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,20,TRAIN,ACC1,96.66926027546856
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,20,HYPER,LR,0.10009962733607158
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,20,VALID,LOSS,0.18192828382286985
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,20,VALID,ACC1,95.21358328211433
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,21,TRAIN,LOSS,0.11216132904896547
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,21,TRAIN,ACC1,96.87401886509139
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,21,HYPER,LR,0.10009952149055051
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,21,VALID,LOSS,0.17249125802515106
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,21,VALID,ACC1,95.30961893054702
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,22,TRAIN,LOSS,0.10751456656818485
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,22,TRAIN,ACC1,97.06649193933686
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,22,HYPER,LR,0.10009938558253978
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,22,VALID,LOSS,0.16937872590915
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,22,VALID,ACC1,95.45175169022741
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,23,TRAIN,LOSS,0.10524177420884116
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,23,TRAIN,ACC1,97.07877745471423
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,23,HYPER,LR,0.10009921107374138
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,23,VALID,LOSS,0.16182785802226016
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,23,VALID,ACC1,95.79363859864782
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,24,TRAIN,LOSS,0.09995351097457743
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,24,TRAIN,ACC1,97.2453144409408
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,24,HYPER,LR,0.10009898700090192
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,24,VALID,LOSS,0.17007941020894213
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,24,VALID,ACC1,95.5439459127228
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,25,TRAIN,LOSS,0.0975073682991764
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,25,TRAIN,ACC1,97.29855167424274
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,25,HYPER,LR,0.10009869928715334
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,25,VALID,LOSS,0.17963795751200437
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,25,VALID,ACC1,95.31730178242164
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,26,TRAIN,LOSS,0.0944341025434029
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,26,TRAIN,ACC1,97.4650886604693
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,26,HYPER,LR,0.1000983298578152
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,26,VALID,LOSS,0.15860912577691588
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,26,VALID,ACC1,95.91272280270437
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,27,TRAIN,LOSS,0.0899926868543117
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,27,TRAIN,ACC1,97.46372360320515
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,27,HYPER,LR,0.10009785550515791
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,27,VALID,LOSS,0.1796277913241461
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,27,VALID,ACC1,95.4901659496005
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,28,TRAIN,LOSS,0.08487187845156888
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,28,TRAIN,ACC1,97.63981599028078
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,28,HYPER,LR,0.10009724643088853
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,28,VALID,LOSS,0.1755709786771739
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,28,VALID,ACC1,95.57851874615857
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,29,TRAIN,LOSS,0.08301294078821307
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,29,TRAIN,ACC1,97.73263988424314
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,29,HYPER,LR,0.10009646437492581
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,29,VALID,LOSS,0.1630493656943364
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,29,VALID,ACC1,96.01259987707436
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,30,TRAIN,LOSS,0.07823648556493507
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,30,TRAIN,ACC1,97.83774929358286
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,30,HYPER,LR,0.10009546021312976
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,30,VALID,LOSS,0.17926068088988822
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,30,VALID,ACC1,95.65150583896742
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,31,TRAIN,LOSS,0.07671812929485666
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,31,TRAIN,ACC1,97.82000354914888
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,31,HYPER,LR,0.10009417087343389
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,31,VALID,LOSS,0.1815088134311648
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,31,VALID,ACC1,95.5439459127228
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,32,TRAIN,LOSS,0.07348613470889084
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,32,TRAIN,ACC1,97.94285870292259
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,32,HYPER,LR,0.10009251537724895
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,32,VALID,LOSS,0.17022600587052147
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,32,VALID,ACC1,95.7321757836509
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,33,TRAIN,LOSS,0.07041290034706729
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,33,TRAIN,ACC1,98.01657179518682
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,33,HYPER,LR,0.10009038975845004
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,33,VALID,LOSS,0.1868758439232344
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,33,VALID,ACC1,95.60156730178242
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,34,TRAIN,LOSS,0.06769297539094307
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,34,TRAIN,ACC1,98.0684439712246
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,34,HYPER,LR,0.10008766054240137
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,34,VALID,LOSS,0.1885632353347681
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,34,VALID,ACC1,95.67839582052858
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,35,TRAIN,LOSS,0.06547380842139607
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,35,TRAIN,ACC1,98.13260166263976
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,35,HYPER,LR,0.10008415637808975
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,35,VALID,LOSS,0.20594628278530114
svhn,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,35,VALID,ACC1,95.24431468961279
