DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,1,TRAIN,LOSS,2.136351774215698
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,1,TRAIN,ACC1,22.860000000000003
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,1,HYPER,LR,0.09716697556399634
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,1,VALID,LOSS,1.9021531238555909
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,1,VALID,ACC1,30.125
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,2,TRAIN,LOSS,1.7806530639648437
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,2,TRAIN,ACC1,30.34
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,2,HYPER,LR,0.0970212260266323
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,2,VALID,LOSS,1.881607271194458
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,2,VALID,ACC1,29.574999999999996
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,3,TRAIN,LOSS,1.6784364219665526
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,3,TRAIN,ACC1,34.18
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,3,HYPER,LR,0.09686847494024549
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,3,VALID,LOSS,1.6274479761123657
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,3,VALID,ACC1,35.85
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,4,TRAIN,LOSS,1.5970582763671874
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,4,TRAIN,ACC1,38.28
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,4,HYPER,LR,0.09670841042306852
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,4,VALID,LOSS,1.6144478302001952
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,4,VALID,ACC1,38.5625
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,5,TRAIN,LOSS,1.5128486997604371
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,5,TRAIN,ACC1,41.98
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,5,HYPER,LR,0.09654070917618358
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,5,VALID,LOSS,1.5041976194381714
