DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,1,TRAIN,LOSS,2.0382189590454103
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,1,TRAIN,ACC1,24.28
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,1,HYPER,LR,0.09716697556399634
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,1,VALID,LOSS,2.6432757930755617
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,1,VALID,ACC1,23.524999999999995
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,2,TRAIN,LOSS,1.746636494064331
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,2,TRAIN,ACC1,31.999999999999996
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,2,HYPER,LR,0.0970212260266323
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,2,VALID,LOSS,2.2496226987838743
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,2,VALID,ACC1,24.375000000000004
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,3,TRAIN,LOSS,1.635712294960022
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,3,TRAIN,ACC1,37.03999999999999
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,3,HYPER,LR,0.09686847494024549
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,3,VALID,LOSS,1.696663122177124
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,3,VALID,ACC1,33.62500000000001
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,4,TRAIN,LOSS,1.5418040893554688
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,4,TRAIN,ACC1,40.16
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,4,HYPER,LR,0.09670841042306852
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,4,VALID,LOSS,1.5636597900390625
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,4,VALID,ACC1,42.37499999999999
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,5,TRAIN,LOSS,1.4529206186294557
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,5,TRAIN,ACC1,44.940000000000005
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,5,HYPER,LR,0.09654070917618358
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,5,VALID,LOSS,1.527671812057495
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,5,VALID,ACC1,44.137499999999996
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,6,TRAIN,LOSS,1.3858942771911622
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,6,TRAIN,ACC1,48.38
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,6,HYPER,LR,0.09636503632158833
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,6,VALID,LOSS,1.4570391464233399
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,6,VALID,ACC1,45.8625
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,7,TRAIN,LOSS,1.319538928794861
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,7,TRAIN,ACC1,51.14000000000001
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,7,HYPER,LR,0.09618104526799098
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,7,VALID,LOSS,2.0852950954437257
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,7,VALID,ACC1,37.875
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,8,TRAIN,LOSS,1.2854698869705201
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,8,TRAIN,ACC1,52.059999999999995
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,8,HYPER,LR,0.09598837760833659
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,8,VALID,LOSS,1.3459133176803588
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,8,VALID,ACC1,49.9125
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,9,TRAIN,LOSS,1.2331843570709229
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,9,TRAIN,ACC1,54.699999999999996
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,9,HYPER,LR,0.0957866630533805
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,9,VALID,LOSS,1.4684303379058838
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,9,VALID,ACC1,47.162499999999994
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,10,TRAIN,LOSS,1.1913592658042909
stl10,resnet34,sig_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,10,TRAIN,ACC1,55.699999999999996
