DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,1,TRAIN,LOSS,2.068835320663452
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,1,TRAIN,ACC1,23.26
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,1,HYPER,LR,0.0499999943589789
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,1,VALID,LOSS,2.0349267148971557
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,1,VALID,ACC1,25.337500000000002
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,2,TRAIN,LOSS,1.874973669052124
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,2,TRAIN,ACC1,27.980000000000004
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,2,HYPER,LR,0.04999999311004144
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,2,VALID,LOSS,2.2214157609939575
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,2,VALID,ACC1,24.687499999999996
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,3,TRAIN,LOSS,1.735942080116272
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,3,TRAIN,ACC1,32.49999999999999
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,3,HYPER,LR,0.049999991584585866
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,3,VALID,LOSS,1.6721562356948854
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,3,VALID,ACC1,33.8125
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,4,TRAIN,LOSS,1.6430322092056275
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,4,TRAIN,ACC1,36.68
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,4,HYPER,LR,0.049999989721390345
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,4,VALID,LOSS,1.6913872184753418
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,4,VALID,ACC1,36.9625
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,5,TRAIN,LOSS,1.5619079322814942
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,5,TRAIN,ACC1,40.52
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,5,HYPER,LR,0.049999987445678386
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,5,VALID,LOSS,1.561352147102356
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,5,VALID,ACC1,41.237500000000004
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,6,TRAIN,LOSS,1.473032177734375
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,6,TRAIN,ACC1,44.52
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,6,HYPER,LR,0.04999998466611781
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,6,VALID,LOSS,1.5466225986480713
stl10,resnet34,sigk_l0.05_e100_w0.0001_m0.9_nf_a20_b0.8,1,6,VALID,ACC1,41.8125
