DATA,MODEL,OPTIM,EXECUTION,EPOCH,TRAIN LOSS,TRAIN ACC1,VALID LOSS,VALID ACC1
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nt_a75_b0.9,1,100,0.005529946699738502,99.92,1.442845151901245,73.78750000000002
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nt_a75_b0.9,2,96,0.005804718309640885,99.94,1.558872299671173,72.275
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nt_a75_b0.9,3,98,0.007901845125854016,99.84,1.3297700150012972,74.7
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nt_a75_b0.9,4,96,0.007372317939996719,99.88,1.4610963621139526,73.2875
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nt_a75_b0.9,5,95,0.0076815819278359425,99.88,1.441097671508789,73.05
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nf_a80_b0.9,1,95,0.008972265920042992,99.84,1.3438271403312685,74.3625
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nf_a80_b0.9,2,97,0.007548624651134014,99.88,1.4179125781059263,73.81249999999999
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nf_a80_b0.9,3,95,0.006102904841676355,99.9,1.4900862340927123,72.8
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nf_a80_b0.9,4,95,0.008297760742902756,99.92,1.3191184515953065,73.4
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nf_a80_b0.9,5,98,0.006225724305212498,99.92,1.4967379488945007,72.86250000000003
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nt_a20_b0.7,1,95,0.0040378876911010605,99.96,1.5789575734138488,73.05
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nt_a20_b0.7,2,96,0.00424816980883479,99.94,1.56817076253891,73.5625
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nt_a20_b0.7,3,97,0.0041491986628621825,99.9,1.5713737144470217,72.98750000000003
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nt_a20_b0.7,4,84,0.004806536247208715,99.92,1.538360631942749,73.4
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nt_a20_b0.7,5,77,0.00744185689538717,99.9,1.5385521426200868,73.15
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nf_a55_b0.8,1,95,0.008189757750928402,99.92,1.3195313200950622,74.325
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nf_a55_b0.8,2,92,0.00928464401960373,99.84,1.3836025838851929,73.6625
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nf_a55_b0.8,3,87,0.007611096192896366,99.82,1.449605133533478,73.275
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nf_a55_b0.8,4,82,0.02122773282527924,99.42,1.337652129650116,73.32499999999997
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nf_a55_b0.8,5,95,0.006396892677247524,99.9,1.4902500653266906,73.08749999999998
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nt_a20_b0.8,1,97,0.005749938520044088,99.88,1.583606897354126,73.6125
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nt_a20_b0.8,2,92,0.004649766297638415,99.96,1.532757451057434,73.4875
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nt_a20_b0.8,3,98,0.003374682350456715,99.92,1.5857010927200317,73.4
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nt_a20_b0.8,4,92,0.0035616239219903945,99.94,1.5613952088356018,73.3
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nt_a20_b0.8,5,82,0.013677056127786635,99.68,1.6043875212669372,72.4625
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nf_a55_b0.9,1,95,0.006460312899947166,99.9,1.3669964542388915,74.3875
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nf_a55_b0.9,2,94,0.00857821845635772,99.82,1.4577069642543792,73.2
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nf_a55_b0.9,3,98,0.005071137710660696,99.96,1.4526354155540466,73.175
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nf_a55_b0.9,4,93,0.014707190223038197,99.6,1.4384203906059263,72.9375
