DATA,MODEL,OPTIM,EXECUTION,EPOCH,TRAIN LOSS,TRAIN ACC1,VALID LOSS,VALID ACC1
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a45_b0.8,1,95,0.00609480333328247,99.88,1.4538410272598266,73.78750000000002
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a50_b0.8,1,96,0.007154409867525102,99.9,1.3780944623947144,73.9
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a60_b0.8,1,95,0.006228668142110109,99.94,1.4152346448898316,74.1
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a15_b0.9,1,95,0.006942240396887064,99.86,1.5503359546661375,72.98750000000003
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a55_b0.9,1,95,0.006460312899947166,99.9,1.3669964542388915,74.3875
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a45_b0.8,1,95,0.00849569172412157,99.88,1.372973547935486,74.1
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a75_b0.5,1,97,0.01854975263774395,99.72,1.3323748531341553,73.6
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a45_b0.9,1,95,0.007789162886142731,99.88,1.3571706557273864,74.91250000000002
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a40_b0.6,1,76,0.00894945385605097,99.9,1.4520081787109376,73.42500000000003
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a70_b0.8,1,86,0.007592580008506775,99.86,1.4152713317871093,73.95
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a55_b0.7,1,79,0.008618599151074886,99.86,1.4852826480865478,73.35000000000002
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a65_b0.7,1,95,0.009785208536684513,99.78,1.3043701972961426,74.3625
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.5,1,95,0.011395892310142515,99.84,1.4580002195835111,72.86250000000003
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a75_b0.9,1,96,0.008230236603319644,99.78,1.3542324748039245,74.4125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a30_b0.5,1,81,0.010433337146043777,99.82,1.52473304271698,72.575
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a35_b0.8,1,96,0.0065125807046890255,99.86,1.3914782338142395,74.675
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a65_b0.9,1,93,0.009588481017947195,99.82,1.4563302869796753,74.4
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a30_b0.6,1,96,0.00817321435958147,99.9,1.451102126121521,73.08749999999998
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a20_b0.5,1,89,0.008953854069113731,99.8,1.5433734045028686,73.075
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a35_b0.6,1,92,0.011801584669947624,99.74,1.4649893569946288,73.97500000000002
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a20_b0.9,1,100,0.004004655653610825,99.94,1.411906576633453,74.6
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a5_b0.5,1,95,0.004367305693030357,99.96,1.7237003273963931,71.825
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a40_b0.9,1,93,0.016024627543985842,99.52,1.41058243227005,74.675
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.8,1,95,0.004723257626593113,99.98,1.4315680232048034,74.2625
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a30_b0.7,1,76,0.009154419948905706,99.76,1.411809962272644,74.4875
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a35_b0.6,1,87,0.006688768969476223,99.9,1.4823263773918152,73.825
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a45_b0.5,1,82,0.021103897359967237,99.62,1.3743155598640442,72.625
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a55_b0.9,1,96,0.00462400428429246,99.86,1.4829603390693664,74.05
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a15_b0.9,1,94,0.007365844362229106,99.78,1.5383864073753355,73.3875
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a55_b0.7,1,76,0.011517931820452212,99.78,1.3457539703845978,73.5625
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a55_b0.8,1,94,0.007301666221767664,99.9,1.4536531906127932,73.96249999999998
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a10_b0.7,1,92,0.005543664408102632,99.9,1.5821472635269165,72.64999999999998
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a80_b0.6,1,87,0.018799574518203736,99.68,1.3124034576416015,73.3125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a10_b0.6,1,74,0.010044989697635174,99.82,1.5800380010604858,73.475
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a60_b0.7,1,98,0.008144080305099487,99.8,1.4632239460945133,73.725
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a20_b0.6,1,73,0.00966881367266178,99.78,1.5448306293487548,72.08749999999998
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a20_b0.8,1,97,0.005749938520044088,99.88,1.583606897354126,73.6125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a75_b0.9,1,100,0.005529946699738502,99.92,1.442845151901245,73.78750000000002
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a75_b0.6,1,82,0.012310865792632105,99.8,1.3785413327217102,73.42500000000003
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a50_b0.7,1,79,0.0060788986444473255,99.92,1.4785953822135924,73.7125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a50_b0.7,1,95,0.008137985986471176,99.9,1.3862206959724426,73.7125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a40_b0.8,1,95,0.005525112269818783,100.0,1.3976769800186155,74.75
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,98,0.005617357385158539,99.96,1.4405939617156982,74.1875
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a70_b0.9,1,96,0.007744141729921101,99.84,1.3614980235099792,74.675
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a70_b0.5,1,79,0.0263561647772789,99.5,1.290119916677475,73.55000000000003
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a35_b0.8,1,96,0.004499480663239956,99.94,1.4477279534339904,74.1125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a5_b0.5,1,86,0.009158407678455114,99.84,1.6542888720035551,72.2375
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a5_b0.9,1,96,0.0058599516086280355,99.9,1.562388388633728,73.0
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a5_b0.8,1,96,0.007006289943307638,99.86,1.6135351767539978,72.55
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a45_b0.5,1,65,0.012375819438695907,99.86,1.4412570700645446,73.15
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a80_b0.5,1,96,0.02210824984908104,99.66,1.3629689435958865,73.08749999999998
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a30_b0.6,1,97,0.008418953247368336,99.88,1.4936491436958312,73.2375
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a35_b0.5,1,96,0.017392541337013245,99.72,1.4173131361007691,73.0375
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.6,1,82,0.0065664414934813965,99.94,1.525038405418396,72.91250000000002
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a75_b0.8,1,88,0.007652685461938381,99.92,1.3927925658226012,74.1125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a65_b0.7,1,97,0.013202205064892768,99.7,1.4038615217208863,73.4875
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a20_b0.7,1,82,0.008452343552559614,99.82,1.547616912841797,72.89999999999998
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a80_b0.7,1,96,0.01346289499104023,99.84,1.2774176321029662,74.025
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a20_b0.6,1,96,0.004389632334560157,99.96,1.6185612740516662,72.91250000000002
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a80_b0.9,1,95,0.006103825139254331,99.9,1.4418690886497498,73.925
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a40_b0.7,1,95,0.007577767141163348,99.86,1.4089440455436706,74.1875
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a15_b0.7,1,96,0.0038917693838477134,99.92,1.5973975720405578,73.2125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a20_b0.7,1,95,0.0040378876911010605,99.96,1.5789575734138488,73.05
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a65_b0.5,1,61,0.018292393857240682,99.66,1.383566204547882,73.0375
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,96,0.004792125129699707,99.88,1.6163054761886595,72.825
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a80_b0.8,1,96,0.008786955127120018,99.88,1.330676477432251,74.0625
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a30_b0.9,1,96,0.002747872422635555,99.98,1.4836520609855652,74.5375
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a70_b0.6,1,96,0.011868514297902585,99.84,1.395598717212677,73.6
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a10_b0.6,1,84,0.0071570343844592575,99.88,1.5821895213127135,72.7125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a65_b0.5,1,82,0.02589956046938896,99.4,1.2739754886627197,73.275
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a80_b0.6,1,87,0.018770606628060342,99.58,1.3418224058151245,73.7125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a15_b0.8,1,94,0.0035141523913946003,99.96,1.5602247943878174,72.725
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a40_b0.7,1,92,0.008013238351047041,99.88,1.4320302348136902,73.875
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a75_b0.6,1,95,0.019032083854079247,99.58,1.3138328938484192,73.78750000000002
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a15_b0.5,1,82,0.0059362821098417045,99.94,1.6318502502441403,72.95
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a45_b0.6,1,84,0.009869091069698334,99.84,1.4247642221450805,73.7
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a70_b0.9,1,96,0.004707109765708446,99.94,1.4232733163833615,74.075
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a50_b0.9,1,95,0.0036076648853719225,99.96,1.4703021559715268,74.0375
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a65_b0.6,1,77,0.01157962420284748,99.8,1.377336271762848,73.675
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a35_b0.9,1,96,0.006032244216650724,99.88,1.440797747850418,74.1
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a55_b0.5,1,95,0.015556996688246729,99.88,1.381218942642212,73.08749999999998
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a40_b0.5,1,92,0.012432879261672495,99.84,1.4816777229309082,72.4875
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a75_b0.8,1,82,0.01758707787692547,99.74,1.292153002500534,74.2
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a80_b0.9,1,95,0.008972265920042992,99.84,1.3438271403312685,74.3625
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a40_b0.6,1,87,0.010187768657505512,99.78,1.4110128226280212,73.625
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a25_b0.8,1,96,0.002579557425901294,99.98,1.4987691702842711,74.2375
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a70_b0.8,1,95,0.012359603983163834,99.74,1.2821088967323304,74.2
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a10_b0.5,1,81,0.006902727477252483,99.84,1.5800549130439758,71.89999999999998
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a40_b0.9,1,95,0.006099580976366997,99.94,1.3964673628807067,74.025
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a50_b0.5,1,55,0.020921023949980737,99.58,1.3802780511379242,73.175
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a5_b0.6,1,95,0.0027842914411798122,99.98,1.6172427773475646,73.1125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a35_b0.7,1,92,0.00581202268153429,99.94,1.4920439109802246,73.88749999999997
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a40_b0.5,1,77,0.016224640974402432,99.76,1.3949026894569396,72.96249999999998
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a20_b0.9,1,95,0.005107992966473103,99.96,1.4858702161312105,74.35000000000002
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a30_b0.7,1,98,0.005097534746676683,99.9,1.5353218097686767,74.05
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a70_b0.5,1,55,0.023830344170331957,99.48,1.376738254070282,72.88749999999997
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a75_b0.5,1,62,0.03128098384141922,99.22,1.26168337059021,73.1125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a35_b0.7,1,86,0.007857007537782193,99.88,1.4174008822441102,74.2
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a30_b0.8,1,96,0.004247666719555855,99.94,1.4475558230876922,73.825
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a45_b0.7,1,97,0.00941678267121315,99.76,1.3985525031089785,73.78750000000002
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a25_b0.5,1,76,0.007805077511072159,99.86,1.5762149281501767,73.3875
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a60_b0.7,1,98,0.011918737876415252,99.8,1.3561016669273376,73.95
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a80_b0.8,1,95,0.011723295918107031,99.8,1.3697519130706788,73.64999999999998
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a50_b0.6,1,82,0.013292080417275427,99.88,1.3823257541656495,73.32499999999997
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a80_b0.7,1,87,0.01278342715203762,99.82,1.3582748975753784,73.32499999999997
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a10_b0.5,1,84,0.005419163773953914,99.92,1.6222789134979247,72.2875
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a65_b0.6,1,73,0.018014895716309542,99.6,1.357451313495636,73.2625
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a80_b0.5,1,56,0.035503164505958563,99.4,1.2615534262657166,72.975
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a55_b0.6,1,96,0.010164804385602477,99.8,1.4058574495315552,73.4875
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a60_b0.6,1,77,0.014095223674178125,99.82,1.3582842426300048,73.7125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a20_b0.5,1,97,0.010020025770366193,99.86,1.58537220287323,72.24999999999999
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a75_b0.7,1,96,0.010840211176872255,99.86,1.3783848624229431,73.0125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a5_b0.7,1,95,0.007993331070244311,99.84,1.6316162214279175,72.8125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a35_b0.5,1,86,0.011545867809653282,99.72,1.5048209419250491,72.78750000000002
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a65_b0.9,1,95,0.005201063473522664,99.96,1.3579163455963137,73.9375
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a15_b0.6,1,95,0.004087577422708272,99.98,1.5888494577407837,73.3125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a50_b0.6,1,86,0.008876957911252975,99.84,1.4310801520347596,73.52499999999998
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a10_b0.8,1,97,0.0046710335746407506,99.94,1.5919856975078583,73.5875
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a60_b0.5,1,73,0.02067269098758697,99.74,1.3484131512641906,72.7
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a30_b0.9,1,97,0.006398221138119698,99.88,1.4123354992866517,74.64999999999998
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a55_b0.6,1,80,0.014617937108874319,99.66,1.431844838142395,73.2625
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a25_b0.6,1,82,0.0059786060698330395,99.92,1.5735827894210817,73.0125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a30_b0.5,1,73,0.013412086379528045,99.78,1.4712777070999146,72.4625
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a70_b0.7,1,96,0.007813548077642918,99.88,1.4303990488052367,73.625
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a45_b0.7,1,87,0.00694641711935401,99.9,1.451334652900696,73.1875
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a20_b0.8,1,92,0.0044779219396412365,99.92,1.4645708613395692,74.025
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a55_b0.5,1,61,0.023792242574691768,99.46,1.3180345377922058,73.1125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a35_b0.9,1,95,0.005719673470407725,99.86,1.4071480655670163,74.01249999999997
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a10_b0.8,1,96,0.005466625873744488,99.86,1.5914412765502932,73.275
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a70_b0.7,1,76,0.0115821184694767,99.82,1.3363389892578126,73.875
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a45_b0.9,1,95,0.004051960510760546,99.96,1.440030126094818,74.2875
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a25_b0.9,1,98,0.0072977155700325955,99.86,1.3916269969940185,74.6125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a60_b0.8,1,97,0.008525813725590706,99.88,1.323223846912384,74.725
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a15_b0.5,1,97,0.007746049664914607,99.92,1.5864645533561708,72.42500000000003
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a50_b0.5,1,64,0.025836705750226976,99.54,1.2988503675460816,73.6125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a15_b0.7,1,95,0.003165080317109823,99.98,1.5414938774108886,73.875
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a5_b0.6,1,99,0.009149592278897762,99.72,1.680172251701355,72.5125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a60_b0.6,1,95,0.010254717157781123,99.86,1.4312172231674194,73.35000000000002
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a5_b0.7,1,95,0.005464531265944242,99.9,1.5960144100189209,72.7125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a75_b0.7,1,94,0.00987415950745344,99.88,1.4080847318172456,73.375
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a60_b0.5,1,86,0.02312163159251213,99.62,1.315162176132202,73.4
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a60_b0.9,1,96,0.008548698668181896,99.8,1.3179074306488037,74.52499999999998
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a15_b0.6,1,93,0.005507458131015301,99.9,1.5561311120986938,74.0
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a50_b0.9,1,96,0.007189391231536866,99.88,1.3612163243293762,73.4875
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a45_b0.6,1,73,0.013088321946561336,99.72,1.405209656715393,73.6125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,95,0.004353842100873589,99.92,1.575012851715088,73.6375
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a10_b0.9,1,95,0.0051979257741943,99.92,1.5891853051185607,73.2375
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a40_b0.8,1,96,0.00541623262539506,99.94,1.4481997022628783,73.725
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a10_b0.7,1,95,0.003198061222583056,99.92,1.6311580562591552,72.96249999999998
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a65_b0.8,1,82,0.016827609732747082,99.68,1.3512450094223023,73.7
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a10_b0.9,1,95,0.0050690317761152995,99.9,1.5903988552093506,73.1
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a65_b0.8,1,94,0.006843665165454149,99.86,1.417808732032776,74.125
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a5_b0.9,1,94,0.015619295400381088,99.5,1.6539579911231994,72.3
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a50_b0.8,1,89,0.0059106617605313655,99.94,1.4334604992866515,73.98750000000003
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a70_b0.6,1,72,0.022037772616371517,99.52,1.3071667699813845,73.675
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a60_b0.9,1,97,0.00518958456069231,99.92,1.475893382549286,73.5625
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nf_a55_b0.8,1,95,0.008189757750928402,99.92,1.3195313200950622,74.325
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a30_b0.8,1,97,0.004502217637002468,100.0,1.3863243522644042,74.325
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a25_b0.9,1,95,0.004335066998749971,99.94,1.4862014813423157,74.1
stl10,resnet34,sigz_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,94,0.002715631823986769,99.96,1.5194949221611025,74.08749999999998
