DATA,MODEL,OPTIM,EXECUTION,EPOCH,TRAIN LOSS,TRAIN ACC1,VALID LOSS,VALID ACC1
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a60_b0.8,1,90,0.006930402719229459,99.86,1.4807046360969542,73.0125
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a65_b0.5,1,86,0.01841647061407566,99.7,1.3918462738990784,72.95
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.5,1,76,0.009717365983128548,99.88,1.4952495050430301,72.175
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a10_b0.6,1,96,0.0037185383059084405,99.94,1.6755813961029054,72.3875
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a40_b0.6,1,76,0.009968121327459813,99.78,1.488693567752838,72.7625
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a55_b0.7,1,92,0.009515459735691548,99.84,1.4595421123504642,73.125
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a50_b0.8,1,92,0.0065225520692765715,99.94,1.4728970456123351,73.675
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a30_b0.8,1,92,0.004536609525233507,99.96,1.506862186908722,73.275
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a35_b0.6,1,96,0.009501543113589287,99.86,1.5442731285095217,72.35000000000002
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a75_b0.8,1,92,0.007243476897478102,99.88,1.4031584677696227,74.01249999999997
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a45_b0.5,1,95,0.013430109283328056,99.8,1.448162800312042,72.6125
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a40_b0.6,1,80,0.010256976133584977,99.9,1.477326488018036,72.6875
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a40_b0.5,1,76,0.013887685012817385,99.72,1.5181133575439454,72.3625
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a15_b0.5,1,86,0.007560439677536487,99.82,1.5846517543792724,72.125
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a45_b0.5,1,81,0.021217617583274843,99.58,1.3981556854248047,72.44999999999997
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a40_b0.5,1,95,0.016271720576286317,99.76,1.4717612218856813,72.4375
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a50_b0.7,1,94,0.008549096145108345,99.82,1.4428821325302124,73.32499999999997
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a65_b0.7,1,87,0.011218382009863852,99.76,1.4604568467140198,72.7625
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a30_b0.6,1,76,0.005807855594158173,99.92,1.5449191756248477,73.2875
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a65_b0.8,1,84,0.00933823166936636,99.84,1.4078779776096344,73.1875
