DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,1,TRAIN,LOSS,2.0543237453460694
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,1,TRAIN,ACC1,24.160000000000004
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,1,HYPER,LR,0.0982109038062961
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,1,VALID,LOSS,2.629183195114136
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,1,VALID,ACC1,21.687500000000004
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,2,TRAIN,LOSS,1.740786483001709
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,2,TRAIN,ACC1,31.920000000000005
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,2,HYPER,LR,0.09811596942659226
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,2,VALID,LOSS,2.3535976791381836
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,2,VALID,ACC1,24.912500000000005
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,3,TRAIN,LOSS,1.6221388317108154
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,3,TRAIN,ACC1,38.1
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,3,HYPER,LR,0.09801636554813196
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,3,VALID,LOSS,1.667943748474121
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,3,VALID,ACC1,35.18750000000001
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,4,TRAIN,LOSS,1.531914112663269
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,4,TRAIN,ACC1,40.959999999999994
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,4,HYPER,LR,0.09791187290638695
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,4,VALID,LOSS,1.5796502742767333
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,4,VALID,ACC1,41.925000000000004
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,5,TRAIN,LOSS,1.4387141357421875
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,5,TRAIN,ACC1,45.440000000000005
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,5,HYPER,LR,0.09780226300899744
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,5,VALID,LOSS,1.4505144510269166
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,5,VALID,ACC1,46.1875
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,6,TRAIN,LOSS,1.3732186559677124
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,6,TRAIN,ACC1,48.46
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,6,HYPER,LR,0.09768729785823309
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,6,VALID,LOSS,1.5449949932098388
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,6,VALID,ACC1,43.43749999999999
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,7,TRAIN,LOSS,1.322751955795288
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,7,TRAIN,ACC1,51.12
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,7,HYPER,LR,0.09756672967731284
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,7,VALID,LOSS,2.072691700935364
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,7,VALID,ACC1,38.7
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,8,TRAIN,LOSS,1.2834400957107543
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,8,TRAIN,ACC1,52.580000000000005
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,8,HYPER,LR,0.0974403006423134
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,8,VALID,LOSS,1.360475661277771
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,8,VALID,ACC1,49.975
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,9,TRAIN,LOSS,1.2200154901504516
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,9,TRAIN,ACC1,54.6
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,9,HYPER,LR,0.09730774262159271
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,9,VALID,LOSS,1.4477149972915648
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,9,VALID,ACC1,48.3
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,10,TRAIN,LOSS,1.179854478263855
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,10,TRAIN,ACC1,55.74
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a5_b0.8,1,10,HYPER,LR,0.09716877692486436
