DATA,MODEL,OPTIM,EXECUTION,EPOCH,TRAIN LOSS,TRAIN ACC1,VALID LOSS,VALID ACC1
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,20,0.8022498968067846,64.26,0.8015829523542748,63.92
cifar10,densenetbc100,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,100,0.007030428311228752,99.87,0.21693269801437856,94.71
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,19,0.21824159600265647,93.26166666666668,0.27812917096215595,90.34210526315788
agnews,textrnn,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,20,0.16555842643489485,94.19666666666666,0.2275176956960626,92.34210526315788
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,14,0.2048319395131946,93.46416666666669,0.28026859309956914,90.25
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,13,0.8204343335777526,63.462,0.8373799610936653,61.92
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,20,0.15253614231304066,94.625,0.2350027390795512,92.2894736842105
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l2,1,18,0.13790687785736747,95.15083333333332,0.24386275587359585,92.32894736842104
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,20,0.14587713809850694,94.99416666666669,0.22742828420791,92.55263157894736
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nt_a25_b0.7_l4,1,18,0.14960650367111333,94.78416666666666,0.2670288956038738,92.13157894736842
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,12,0.19077850405233074,93.4175,0.3090974367445337,89.61842105263158
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,99,0.0035597810008283705,99.94,0.20996169182360166,95.28
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,19,0.8715291077197971,61.75523076923078,0.8453172729768671,61.114
cifar100,densenetbc100,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,91,0.04857925691366196,99.29,1.0437874427795408,76.58
agnews,rcnn,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7_l2,1,20,0.4665635037843975,84.36333333333333,0.3469089156026317,88.52631578947368
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,15,0.14616894757344698,94.9125,0.3326372802794229,89.27631578947368
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,20,0.8344293950534541,63.107076923076924,0.8277886212775392,62.21
agnews,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,20,0.18590611625783526,93.90583333333332,0.2560025726433324,92.26315789473685
cifar10,densenetbc100,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,92,0.005366972115263343,99.92399999999999,0.2369352985143661,94.35
tinyimagenet200,densenetbc100,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,86,0.64996365193367,82.55799999999998,1.9261189937591552,58.7
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,18,0.1148670373785629,95.97583333333334,0.2835957505558231,92.22368421052632
cifar10,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,100,0.042108878672420975,98.57600000000001,0.2955571756723803,92.09
yelprf,textrnn,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,20,0.8132887185292274,63.85261538461538,0.8098430268396737,63.27199999999999
agnews,textrnn,taso_l0.1_e20_w0.0001_m0.9_nt_a25_b0.7_l4,1,20,0.14906391660656934,94.71083333333333,0.22378030444425484,92.63157894736842
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,17,0.12339624453187545,95.72666666666667,0.2788298522189019,92.27631578947368
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,98,0.01746214526474476,99.877,2.218876411628723,61.19
agnews,rcnn,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,20,0.46794919570907006,84.14416666666666,0.36047801844486294,88.13157894736841
cifar100,efficientnetb0,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,91,0.1159579004597664,96.35,1.458528116607666,69.97
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,20,0.7337803217928779,66.82246153846154,0.7603880350809793,65.062
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7_l4,1,18,0.14596262780972166,94.77583333333334,0.2259592585956264,92.55263157894736
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,18,0.13964168425744494,95.2775,0.3441739257188998,89.28947368421053
