DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,1,TRAIN,LOSS,0.34500550695193444
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,1,TRAIN,ACC1,88.14083333333333
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,1,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,1,VALID,LOSS,0.45384470240887376
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,1,VALID,ACC1,83.39473684210526
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,2,TRAIN,LOSS,0.2914183414602518
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,2,TRAIN,ACC1,90.45916666666668
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,2,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,2,VALID,LOSS,0.4489806361295552
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,2,VALID,ACC1,83.47368421052633
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.26840500869396916
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,3,TRAIN,ACC1,91.26916666666666
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,3,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,3,VALID,LOSS,0.4422571585546923
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,3,VALID,ACC1,84.5
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.25530097620431896
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,4,TRAIN,ACC1,91.70166666666667
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,4,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,4,VALID,LOSS,0.3452996127136979
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,4,VALID,ACC1,87.42105263157895
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,5,TRAIN,LOSS,0.24342365532587557
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,5,TRAIN,ACC1,92.045
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,5,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,5,VALID,LOSS,0.3635178424202571
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,5,VALID,ACC1,86.94736842105263
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,6,TRAIN,LOSS,0.2312006842444128
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,6,TRAIN,ACC1,92.43249999999999
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,6,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,6,VALID,LOSS,0.3012248505177777
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,6,VALID,ACC1,89.23684210526316
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,7,TRAIN,LOSS,0.22494478455165745
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,7,TRAIN,ACC1,92.73416666666667
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,7,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,7,VALID,LOSS,0.33442208122080913
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,7,VALID,ACC1,88.48684210526316
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,8,TRAIN,LOSS,0.2157659251025286
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,8,TRAIN,ACC1,92.92833333333334
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,8,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,8,VALID,LOSS,0.329161661908148
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,8,VALID,ACC1,88.71052631578948
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,9,TRAIN,LOSS,0.21112329772874666
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,9,TRAIN,ACC1,93.11
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,9,HYPER,LR,0.001
