DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,1,TRAIN,LOSS,0.3534476123784496
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,1,TRAIN,ACC1,88.13333333333333
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,1,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,1,VALID,LOSS,0.42537286569397276
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,1,VALID,ACC1,84.47368421052632
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,2,TRAIN,LOSS,0.30704548598197046
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,2,TRAIN,ACC1,90.105
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,2,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,2,VALID,LOSS,0.40063925514919296
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,2,VALID,ACC1,86.52631578947368
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,3,TRAIN,LOSS,0.2847819428786649
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,3,TRAIN,ACC1,90.8425
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,3,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,3,VALID,LOSS,0.43300936960650666
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,3,VALID,ACC1,84.3157894736842
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,4,TRAIN,LOSS,0.26876525595023776
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,4,TRAIN,ACC1,91.32000000000001
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,4,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,4,VALID,LOSS,0.3454182294735794
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,4,VALID,ACC1,87.72368421052632
