DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,1,TRAIN,LOSS,0.3206479417945331
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,1,TRAIN,ACC1,88.6775
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,1,HYPER,LR,0.001
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,1,VALID,LOSS,0.3870676953842702
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,1,VALID,ACC1,85.90789473684211
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,2,TRAIN,LOSS,0.2530502386867533
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,2,TRAIN,ACC1,91.27416666666667
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,2,HYPER,LR,0.001
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,2,VALID,LOSS,0.3797599027522766
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,2,VALID,ACC1,85.5
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,3,TRAIN,LOSS,0.2263303208932488
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,3,TRAIN,ACC1,92.16583333333334
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,3,HYPER,LR,0.001
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,3,VALID,LOSS,0.4212767614279612
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,3,VALID,ACC1,83.88157894736842
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,4,TRAIN,LOSS,0.21070387519959344
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,4,TRAIN,ACC1,92.68833333333333
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,4,HYPER,LR,0.001
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,4,VALID,LOSS,0.45894346361825544
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,4,VALID,ACC1,83.61842105263158
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,5,TRAIN,LOSS,0.19956854650326325
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,5,TRAIN,ACC1,93.08416666666666
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,5,HYPER,LR,0.001
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,5,VALID,LOSS,0.42104686729723834
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,5,VALID,ACC1,85.1578947368421
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,6,TRAIN,LOSS,0.1892923216646617
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,6,TRAIN,ACC1,93.46666666666667
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,6,HYPER,LR,0.001
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,6,VALID,LOSS,0.3874876814844789
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,6,VALID,ACC1,86.82894736842105
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,7,TRAIN,LOSS,0.1815326480037534
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,7,TRAIN,ACC1,93.7075
agnews,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,7,HYPER,LR,0.001
