DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,LOSS,0.3579374378018393
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,ACC1,87.32083333333334
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,HYPER,LR,0.05004999561787628
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,LOSS,0.5157023565940705
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,ACC1,79.6842105263158
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,LOSS,0.2960960296446137
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,ACC1,89.88083333333333
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,HYPER,LR,0.05004998470488865
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,LOSS,0.5130141068184305
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,ACC1,79.0657894736842
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,LOSS,0.27336198362587005
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,ACC1,90.6225
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,HYPER,LR,0.05004994661485649
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,LOSS,0.48442317695107323
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,ACC1,81.25
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,LOSS,0.26110486100526115
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,ACC1,91.01666666666667
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,4,HYPER,LR,0.05004981366803579
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,LOSS,0.6446894190100932
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,ACC1,73.17105263157895
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,LOSS,0.25250076700154434
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,ACC1,91.3325
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,5,HYPER,LR,0.05004934964357667
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,5,VALID,LOSS,0.4972603536419194
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,5,VALID,ACC1,79.65789473684211
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,6,TRAIN,LOSS,0.2443994255875758
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,6,TRAIN,ACC1,91.66166666666666
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,6,HYPER,LR,0.05004773010656488
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,6,VALID,LOSS,0.47401106539469295
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,6,VALID,ACC1,80.14473684210526
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,7,TRAIN,LOSS,0.2374519980203636
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,7,TRAIN,ACC1,91.805
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,7,HYPER,LR,0.050042078189044874
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,7,VALID,LOSS,0.4460674948743032
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,7,VALID,ACC1,81.72368421052632
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,8,TRAIN,LOSS,0.23487584194598393
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,8,TRAIN,ACC1,91.8725
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,8,HYPER,LR,0.050022361068153824
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,8,VALID,LOSS,0.5414745640200022
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,8,VALID,ACC1,78.84210526315789
