DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,TRAIN,LOSS,0.38042137168692364
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,TRAIN,ACC1,85.3775
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,HYPER,LR,0.05004999561787628
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,VALID,LOSS,0.5655831443823082
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,VALID,ACC1,76.13157894736841
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,TRAIN,LOSS,0.28456929197979874
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,TRAIN,ACC1,90.3
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,HYPER,LR,0.05004998470488865
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,VALID,LOSS,0.5558323495189368
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,VALID,ACC1,78.01315789473684
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,TRAIN,LOSS,0.2557289903820058
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,TRAIN,ACC1,91.16166666666666
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,HYPER,LR,0.05004994661485649
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,VALID,LOSS,0.553570784885858
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,VALID,ACC1,79.61842105263159
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,TRAIN,LOSS,0.24207411994360328
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,TRAIN,ACC1,91.65666666666667
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,HYPER,LR,0.05004981366803579
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,VALID,LOSS,0.4792203057938468
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,VALID,ACC1,82.09210526315789
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,TRAIN,LOSS,0.2297481160171842
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,TRAIN,ACC1,92.04
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,HYPER,LR,0.05004934964357667
agnews,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,VALID,LOSS,0.4829600035250738
