DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,1,TRAIN,LOSS,0.3479769073214566
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,1,TRAIN,ACC1,87.75500000000001
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,1,HYPER,LR,0.001
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,1,VALID,LOSS,0.35131298889671014
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,1,VALID,ACC1,87.53947368421052
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,2,TRAIN,LOSS,0.27825889129174913
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,2,TRAIN,ACC1,90.55416666666667
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,2,HYPER,LR,0.001
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,2,VALID,LOSS,0.4049248998821693
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,2,VALID,ACC1,84.8157894736842
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.2560034408113421
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,3,TRAIN,ACC1,91.25333333333333
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,3,HYPER,LR,0.001
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,3,VALID,LOSS,0.4078882471964258
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,3,VALID,ACC1,83.90789473684211
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.2407990658306576
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,4,TRAIN,ACC1,91.66583333333334
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,4,HYPER,LR,0.001
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,4,VALID,LOSS,0.3151353475478449
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,4,VALID,ACC1,88.31578947368422
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,5,TRAIN,LOSS,0.22974969398485792
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,5,TRAIN,ACC1,92.19
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,5,HYPER,LR,0.001
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,5,VALID,LOSS,0.3923739422282051
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,5,VALID,ACC1,85.44736842105263
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,6,TRAIN,LOSS,0.22158580344453796
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,6,TRAIN,ACC1,92.4375
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,6,HYPER,LR,0.001
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,6,VALID,LOSS,0.375298771018337
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,6,VALID,ACC1,85.75
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,7,TRAIN,LOSS,0.21347344442862284
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,7,TRAIN,ACC1,92.69000000000001
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,7,HYPER,LR,0.001
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,7,VALID,LOSS,0.35839866532835446
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,7,VALID,ACC1,86.65789473684211
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,8,TRAIN,LOSS,0.20737190600414185
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,8,TRAIN,ACC1,92.9125
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,8,HYPER,LR,0.001
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,8,VALID,LOSS,0.4268577552459366
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,8,VALID,ACC1,84.03947368421052
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,9,TRAIN,LOSS,0.20580287322593194
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,9,TRAIN,ACC1,93.0
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,9,HYPER,LR,0.001
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,9,VALID,LOSS,0.34774925979321186
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,9,VALID,ACC1,87.05263157894737
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,10,TRAIN,LOSS,0.19914908225509698
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,10,TRAIN,ACC1,93.13666666666667
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,10,HYPER,LR,0.001
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,10,VALID,LOSS,0.32241474367641176
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,10,VALID,ACC1,88.75
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,11,TRAIN,LOSS,0.19540652121296725
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,11,TRAIN,ACC1,93.37666666666667
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,11,HYPER,LR,0.001
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,11,VALID,LOSS,0.306269687511499
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,11,VALID,ACC1,88.73684210526316
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,12,TRAIN,LOSS,0.19077850405233074
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,12,TRAIN,ACC1,93.4175
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,12,HYPER,LR,0.001
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,12,VALID,LOSS,0.3090974367445337
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,12,VALID,ACC1,89.61842105263158
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,13,TRAIN,LOSS,0.19002927933307
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,13,TRAIN,ACC1,93.50583333333333
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,13,HYPER,LR,0.001
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,13,VALID,LOSS,0.4219556447094225
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,13,VALID,ACC1,85.55263157894737
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,14,TRAIN,LOSS,0.18524477471927184
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,14,TRAIN,ACC1,93.69
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,14,HYPER,LR,0.001
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,14,VALID,LOSS,0.3312132921483983
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,14,VALID,ACC1,88.27631578947368
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,15,TRAIN,LOSS,0.18158019967167066
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,15,TRAIN,ACC1,93.69583333333334
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,15,HYPER,LR,0.001
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,15,VALID,LOSS,0.33125963420398186
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,15,VALID,ACC1,89.32894736842105
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,16,TRAIN,LOSS,0.17815726265041087
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,16,TRAIN,ACC1,93.9175
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,16,HYPER,LR,0.001
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,16,VALID,LOSS,0.3583625593192489
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,16,VALID,ACC1,88.31578947368422
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,17,TRAIN,LOSS,0.17599188385494657
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,17,TRAIN,ACC1,93.99666666666666
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,17,HYPER,LR,0.001
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,17,VALID,LOSS,0.3525586225087697
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,17,VALID,ACC1,87.77631578947368
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,18,TRAIN,LOSS,0.17298529435118923
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,18,TRAIN,ACC1,94.16916666666667
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,18,HYPER,LR,0.001
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,18,VALID,LOSS,0.32640364101240177
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,18,VALID,ACC1,88.1578947368421
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,19,TRAIN,LOSS,0.17125181558330863
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,19,TRAIN,ACC1,94.13666666666667
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,19,HYPER,LR,0.001
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,19,VALID,LOSS,0.3430617877447108
agnews,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,19,VALID,ACC1,88.39473684210526
