DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,LOSS,0.36864947524915703
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,ACC1,86.96166666666667
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,HYPER,LR,0.05004999561787628
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,LOSS,0.6450328449030112
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,ACC1,73.13157894736841
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,LOSS,0.2957769264490285
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,ACC1,90.11333333333333
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,HYPER,LR,0.05004998470488865
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,LOSS,0.6074664801196719
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,ACC1,76.6842105263158
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,LOSS,0.27350482950744015
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,ACC1,90.75083333333333
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,HYPER,LR,0.05004994661485649
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,LOSS,0.49126035585284383
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,ACC1,80.34210526315789
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,LOSS,0.2598518317690953
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,ACC1,91.13666666666667
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,4,HYPER,LR,0.05004981366803579
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,LOSS,0.4210532880528266
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,ACC1,84.02631578947368
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,LOSS,0.2512344562911784
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,ACC1,91.42
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,5,HYPER,LR,0.05004934964357667
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,5,VALID,LOSS,0.45845003391625205
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,5,VALID,ACC1,82.55263157894737
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,6,TRAIN,LOSS,0.24412729106020603
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,6,TRAIN,ACC1,91.62333333333333
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,6,HYPER,LR,0.05004773010656488
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,6,VALID,LOSS,0.42562906211554846
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,6,VALID,ACC1,83.85526315789474
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,7,TRAIN,LOSS,0.23607118286227816
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,7,TRAIN,ACC1,91.8275
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,7,HYPER,LR,0.050042078189044874
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,7,VALID,LOSS,0.4482895194531172
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,7,VALID,ACC1,83.80263157894736
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,8,TRAIN,LOSS,0.23680938936539989
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,8,TRAIN,ACC1,91.78333333333333
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,8,HYPER,LR,0.050022361068153824
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,8,VALID,LOSS,0.45963949204480464
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,8,VALID,ACC1,82.56578947368422
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,9,TRAIN,LOSS,0.23039952424538757
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,9,TRAIN,ACC1,91.98666666666666
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,9,HYPER,LR,0.04995366326683363
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,9,VALID,LOSS,0.48462785040521117
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,9,VALID,ACC1,81.25
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,10,TRAIN,LOSS,0.2225380629601678
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,10,TRAIN,ACC1,92.29
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,10,HYPER,LR,0.04971535745378577
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,10,VALID,LOSS,0.4126894439358558
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,10,VALID,ACC1,85.13157894736842
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,11,TRAIN,LOSS,0.21860595142229258
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,11,TRAIN,ACC1,92.45750000000001
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,11,HYPER,LR,0.04890113150449872
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,11,VALID,LOSS,0.42726148275106746
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,11,VALID,ACC1,84.57894736842105
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,12,TRAIN,LOSS,0.21539701600707553
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,12,TRAIN,ACC1,92.54333333333334
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,12,HYPER,LR,0.04625709099893783
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,12,VALID,LOSS,0.3734601520398605
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,12,VALID,ACC1,86.4342105263158
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,13,TRAIN,LOSS,0.2058709093081632
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,13,TRAIN,ACC1,92.8775
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,13,HYPER,LR,0.03891499305873455
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,13,VALID,LOSS,0.4385225737987237
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,13,VALID,ACC1,84.59210526315789
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,14,TRAIN,LOSS,0.1953302724998179
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,14,TRAIN,ACC1,93.06416666666667
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,14,HYPER,LR,0.025050000000000003
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,14,VALID,LOSS,0.3842943068329021
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,14,VALID,ACC1,86.09210526315789
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,15,TRAIN,LOSS,0.17825166212853574
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,15,TRAIN,ACC1,93.75833333333333
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,15,HYPER,LR,0.011185006941265434
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,15,VALID,LOSS,0.2806793371806367
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,15,VALID,ACC1,89.9342105263158
