DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,TRAIN,LOSS,0.3581106443366864
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,TRAIN,ACC1,87.13333333333333
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,HYPER,LR,0.05004999561787628
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,VALID,LOSS,0.6937218859732285
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,VALID,ACC1,72.38157894736842
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,TRAIN,LOSS,0.28468182906825595
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,TRAIN,ACC1,90.25083333333333
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,HYPER,LR,0.05004998470488865
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,VALID,LOSS,0.7305834933971809
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,VALID,ACC1,72.3157894736842
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,TRAIN,LOSS,0.26151024519269517
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,TRAIN,ACC1,90.995
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,HYPER,LR,0.05004994661485649
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,VALID,LOSS,0.9055898202280217
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,VALID,ACC1,69.05263157894737
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,TRAIN,LOSS,0.24830457744108486
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,TRAIN,ACC1,91.40083333333334
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,HYPER,LR,0.05004981366803579
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,VALID,LOSS,0.46561131296302427
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,VALID,ACC1,81.86842105263158
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,TRAIN,LOSS,0.2361375283511951
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,TRAIN,ACC1,91.73583333333333
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,HYPER,LR,0.05004934964357667
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,VALID,LOSS,0.7351015491174837
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,VALID,ACC1,73.25
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,TRAIN,LOSS,0.22928799447432405
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,TRAIN,ACC1,92.00500000000001
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,HYPER,LR,0.05004773010656488
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,VALID,LOSS,0.5426751791177631
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,VALID,ACC1,79.34210526315789
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,7,TRAIN,LOSS,0.22348862503966066
agnews,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,7,TRAIN,ACC1,92.13333333333334
