DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,1,TRAIN,LOSS,0.3523267719756993
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,1,TRAIN,ACC1,87.3425
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,1,HYPER,LR,0.05004999561787628
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,1,VALID,LOSS,0.6172205170205467
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,1,VALID,ACC1,75.36842105263158
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,2,TRAIN,LOSS,0.2732711515763045
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,2,TRAIN,ACC1,90.60083333333333
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,2,HYPER,LR,0.05004998470488865
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,2,VALID,LOSS,0.6392365659219107
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,2,VALID,ACC1,78.19736842105263
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,3,TRAIN,LOSS,0.2466271223267306
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,3,TRAIN,ACC1,91.515
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,3,HYPER,LR,0.05004994661485649
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,3,VALID,LOSS,0.7449090290931767
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,3,VALID,ACC1,72.24999999999999
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,4,TRAIN,LOSS,0.22940660983219757
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,4,TRAIN,ACC1,92.08583333333334
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,4,HYPER,LR,0.05004981366803579
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,4,VALID,LOSS,0.5865889908037851
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,4,VALID,ACC1,77.96052631578947
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,5,TRAIN,LOSS,0.2143868107858966
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,5,TRAIN,ACC1,92.47583333333334
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,5,HYPER,LR,0.05004934964357667
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,5,VALID,LOSS,0.47780754271766684
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,5,VALID,ACC1,81.84210526315789
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,6,TRAIN,LOSS,0.20339734636243637
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,6,TRAIN,ACC1,92.91166666666668
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,6,HYPER,LR,0.05004773010656488
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,6,VALID,LOSS,0.3812140659691586
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,6,VALID,ACC1,85.92105263157895
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,7,TRAIN,LOSS,0.19183985395682385
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,7,TRAIN,ACC1,93.33666666666667
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,7,HYPER,LR,0.050042078189044874
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,7,VALID,LOSS,0.43622420515125687
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,7,VALID,ACC1,84.39473684210526
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,8,TRAIN,LOSS,0.18306167830439024
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,8,TRAIN,ACC1,93.62333333333333
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,8,HYPER,LR,0.050022361068153824
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,8,VALID,LOSS,0.3974996704155278
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,8,VALID,ACC1,86.07894736842105
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,9,TRAIN,LOSS,0.17533504996362947
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,9,TRAIN,ACC1,93.88083333333334
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,9,HYPER,LR,0.04995366326683363
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,9,VALID,LOSS,0.3577464950752069
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,9,VALID,ACC1,87.25
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,10,TRAIN,LOSS,0.16769184500850004
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,10,TRAIN,ACC1,94.16250000000001
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,10,HYPER,LR,0.04971535745378577
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,10,VALID,LOSS,0.37445752142374533
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,10,VALID,ACC1,87.17105263157895
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,11,TRAIN,LOSS,0.16289238089993505
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,11,TRAIN,ACC1,94.35416666666667
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,11,HYPER,LR,0.04890113150449872
agnews,textrnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7_l4,1,11,VALID,LOSS,0.3771006095551399
