DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,1,TRAIN,LOSS,0.3636197203570771
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,1,TRAIN,ACC1,87.18083333333333
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,1,HYPER,LR,0.10009999123575256
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,1,VALID,LOSS,0.5383845565309894
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,1,VALID,ACC1,78.65789473684211
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,2,TRAIN,LOSS,0.27675781756143697
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,2,TRAIN,ACC1,90.53666666666666
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,2,HYPER,LR,0.1000999694097773
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,2,VALID,LOSS,0.5987521755312987
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,2,VALID,ACC1,78.02631578947368
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,3,TRAIN,LOSS,0.2502865780646377
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,3,TRAIN,ACC1,91.48916666666666
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,3,HYPER,LR,0.10009989322971298
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,3,VALID,LOSS,0.45384561684235364
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,3,VALID,ACC1,82.92105263157895
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,4,TRAIN,LOSS,0.23016836892643358
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,4,TRAIN,ACC1,92.05833333333334
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,4,HYPER,LR,0.10009962733607158
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,4,VALID,LOSS,0.4940112117294628
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,4,VALID,ACC1,82.4078947368421
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,5,TRAIN,LOSS,0.21548062999617168
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,5,TRAIN,ACC1,92.59666666666666
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,5,HYPER,LR,0.10009869928715334
agnews,textrnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7_l4,1,5,VALID,LOSS,0.39365682827600146
