DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,LOSS,1.8936495219421388
cifar10,resnet50,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,ACC1,32.467999999999996
cifar10,resnet50,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,HYPER,LR,0.050049998387906684
cifar10,resnet50,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,LOSS,1.564981597328186
cifar10,resnet50,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,ACC1,40.190000000000005
cifar10,resnet50,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,LOSS,1.307344458770752
cifar10,resnet50,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,ACC1,52.21199999999999
cifar10,resnet50,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,HYPER,LR,0.050049997930031224
cifar10,resnet50,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,LOSS,1.2122245651245118
cifar10,resnet50,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,ACC1,57.54
cifar10,resnet50,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,LOSS,1.0063811650466918
cifar10,resnet50,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,ACC1,64.00200000000001
cifar10,resnet50,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,HYPER,LR,0.050049997342107515
cifar10,resnet50,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,LOSS,1.065701741027832
cifar10,resnet50,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,ACC1,63.2
cifar10,resnet50,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,LOSS,0.8500419307899475
cifar10,resnet50,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,ACC1,69.968
cifar10,resnet50,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,HYPER,LR,0.050049996587198546
cifar10,resnet50,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,LOSS,0.8595289752960205
cifar10,resnet50,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,ACC1,70.07
cifar10,resnet50,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,LOSS,0.7224288549804687
cifar10,resnet50,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,ACC1,74.656
