DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,LOSS,4.860773506164551
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,ACC1,3.624000000000005
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,HYPER,LR,0.050049998387906684
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,LOSS,4.450745111083984
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,ACC1,6.979999999999997
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,LOSS,4.2596664476776125
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,ACC1,9.419999999999995
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,HYPER,LR,0.050049997930031224
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,LOSS,3.963718808364868
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,ACC1,13.719999999999999
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,LOSS,3.9068521952056883
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,ACC1,14.081999999999994
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,HYPER,LR,0.050049997342107515
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,LOSS,3.770358236312866
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,ACC1,16.190000000000005
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,LOSS,3.656431803741455
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,ACC1,18.157
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,HYPER,LR,0.050049996587198546
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,LOSS,3.5194865997314455
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,ACC1,20.230000000000004
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,LOSS,3.4774711380004883
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,ACC1,21.057000000000002
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,HYPER,LR,0.05004999561787628
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,VALID,LOSS,3.379877146911621
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,VALID,ACC1,23.59
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,TRAIN,LOSS,3.337735850753784
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,TRAIN,ACC1,23.477999999999998
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,HYPER,LR,0.050049994373241896
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,VALID,LOSS,3.2131153438568116
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,VALID,ACC1,26.200000000000003
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,TRAIN,LOSS,3.2213986222839357
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,TRAIN,ACC1,25.636000000000003
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,HYPER,LR,0.050049992775099805
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,VALID,LOSS,3.130189366912842
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,VALID,ACC1,27.810000000000002
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,TRAIN,LOSS,3.1205741748809817
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,TRAIN,ACC1,27.528
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,HYPER,LR,0.050049990723044904
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,VALID,LOSS,3.0439449962615965
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,VALID,ACC1,28.769999999999996
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,9,TRAIN,LOSS,3.0404380814361573
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,9,TRAIN,ACC1,28.908999999999995
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,9,HYPER,LR,0.0500499880881545
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,9,VALID,LOSS,2.9907365936279295
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,9,VALID,ACC1,29.800000000000004
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,10,TRAIN,LOSS,2.973017475204468
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,10,TRAIN,ACC1,30.183000000000003
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,10,HYPER,LR,0.05004998470488865
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,10,VALID,LOSS,2.8893588470458984
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,10,VALID,ACC1,31.820000000000004
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,11,TRAIN,LOSS,2.911758066253662
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,11,TRAIN,ACC1,31.488000000000007
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,11,HYPER,LR,0.050049980360689986
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,11,VALID,LOSS,2.8438153392791747
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,11,VALID,ACC1,32.620000000000005
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,12,TRAIN,LOSS,2.8604096784973145
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,12,TRAIN,ACC1,32.357
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,12,HYPER,LR,0.0500499747826296
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,12,VALID,LOSS,2.8647967514038086
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,12,VALID,ACC1,33.39
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,13,TRAIN,LOSS,2.8154766271972655
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,13,TRAIN,ACC1,33.318000000000005
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,13,HYPER,LR,0.05004996762026009
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,13,VALID,LOSS,2.8128133003234863
tinyimagenet200,efficientnetb0,taso_l0.05_e100_w0.0001_m0.9_nf_a25_b0.7,1,13,VALID,ACC1,34.209999999999994
