DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,LOSS,4.750271404266358
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,ACC1,5.3089999999999975
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,HYPER,LR,0.10009999677581337
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,LOSS,4.3296161437988285
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,ACC1,8.919999999999995
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,LOSS,3.9455892875671386
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,ACC1,14.490000000000002
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,HYPER,LR,0.10009999586006245
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,LOSS,3.590632356262207
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,ACC1,20.57
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,LOSS,3.43863529586792
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,ACC1,22.058999999999994
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,HYPER,LR,0.10009999468421503
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,LOSS,3.322363423538208
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,ACC1,24.490000000000002
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,LOSS,3.12212201751709
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,ACC1,27.913
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,HYPER,LR,0.10009999317439709
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,LOSS,2.9750451889038088
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,ACC1,30.610000000000003
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,LOSS,2.9107951078033447
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,ACC1,31.854000000000006
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,HYPER,LR,0.10009999123575256
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,VALID,LOSS,2.9657851802825927
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,VALID,ACC1,31.55
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,TRAIN,LOSS,2.7536889685058594
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,TRAIN,ACC1,34.973
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,HYPER,LR,0.10009998874648379
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,VALID,LOSS,2.749014819717407
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,VALID,ACC1,36.27
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,TRAIN,LOSS,2.629607660675049
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,TRAIN,ACC1,37.133
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,HYPER,LR,0.10009998555019961
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,VALID,LOSS,2.7254055660247802
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,VALID,ACC1,36.18
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,TRAIN,LOSS,2.5218055029296873
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,TRAIN,ACC1,39.284
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,HYPER,LR,0.10009998144608981
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,VALID,LOSS,2.7315318737030028
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,VALID,ACC1,36.07
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,9,TRAIN,LOSS,2.439776250228882
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,9,TRAIN,ACC1,40.92400000000001
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,9,HYPER,LR,0.100099976176309
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,9,VALID,LOSS,2.7273682262420653
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,9,VALID,ACC1,36.550000000000004
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,10,TRAIN,LOSS,2.3616936777114867
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,10,TRAIN,ACC1,42.509
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,10,HYPER,LR,0.1000999694097773
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,10,VALID,LOSS,2.645582815551758
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,10,VALID,ACC1,38.4
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,11,TRAIN,LOSS,2.295754828491211
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,11,TRAIN,ACC1,43.858
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,11,HYPER,LR,0.10009996072137997
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,11,VALID,LOSS,2.5661417583465576
tinyimagenet200,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,11,VALID,ACC1,40.169999999999995
