DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,1,TRAIN,LOSS,0.9339393035766632
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,1,TRAIN,ACC1,58.167538461538456
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,1,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,1,VALID,LOSS,0.8694708048644957
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,1,VALID,ACC1,60.392
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,2,TRAIN,LOSS,0.8984169287320934
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,2,TRAIN,ACC1,60.53246153846155
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,2,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,2,VALID,LOSS,0.848965380123055
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,2,VALID,ACC1,61.27
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.8846183555419911
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,3,TRAIN,ACC1,61.246923076923075
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,3,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,3,VALID,LOSS,0.8392994906611704
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,3,VALID,ACC1,61.964
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.8761141409496858
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,4,TRAIN,ACC1,61.605384615384615
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,4,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,4,VALID,LOSS,0.8369511345773333
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,4,VALID,ACC1,61.946
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,5,TRAIN,LOSS,0.8723748410345317
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,5,TRAIN,ACC1,61.874153846153845
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,5,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,5,VALID,LOSS,0.8383756601335408
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,5,VALID,ACC1,61.332
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,6,TRAIN,LOSS,0.8685215245919833
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,6,TRAIN,ACC1,62.01538461538462
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,6,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,6,VALID,LOSS,0.8387460144430431
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,6,VALID,ACC1,61.406000000000006
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,7,TRAIN,LOSS,0.8649444668791706
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,7,TRAIN,ACC1,62.16230769230769
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,7,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,7,VALID,LOSS,0.8256220797691094
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,7,VALID,ACC1,62.184
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,8,TRAIN,LOSS,0.8629225363973269
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,8,TRAIN,ACC1,62.2763076923077
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,8,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,8,VALID,LOSS,0.827026019433397
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,8,VALID,ACC1,62.322
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,9,TRAIN,LOSS,0.8595324054621614
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,9,TRAIN,ACC1,62.37369230769231
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,9,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,9,VALID,LOSS,0.8392264158895557
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,9,VALID,ACC1,61.897999999999996
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,10,TRAIN,LOSS,0.8582613728534344
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,10,TRAIN,ACC1,62.43138461538462
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,10,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,10,VALID,LOSS,0.8285736225339198
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,10,VALID,ACC1,62.28
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,11,TRAIN,LOSS,0.855668680710522
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,11,TRAIN,ACC1,62.55215384615384
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,11,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,11,VALID,LOSS,0.8465241809952117
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,11,VALID,ACC1,61.166
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,12,TRAIN,LOSS,0.8564447313104586
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,12,TRAIN,ACC1,62.558
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,12,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,12,VALID,LOSS,0.8370201307515172
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,12,VALID,ACC1,61.812
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,13,TRAIN,LOSS,0.8542424105552168
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,13,TRAIN,ACC1,62.56953846153846
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,13,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,13,VALID,LOSS,0.8357675001488166
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,13,VALID,ACC1,61.572
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,14,TRAIN,LOSS,0.8548688107588068
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,14,TRAIN,ACC1,62.61846153846153
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,14,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,14,VALID,LOSS,0.8359866410990661
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,14,VALID,ACC1,61.858000000000004
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,15,TRAIN,LOSS,0.8538830027179755
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,15,TRAIN,ACC1,62.68184615384615
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,15,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,15,VALID,LOSS,0.8388712230220108
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,15,VALID,ACC1,61.718
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,16,TRAIN,LOSS,0.8531327231790387
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,16,TRAIN,ACC1,62.68292307692307
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,16,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,16,VALID,LOSS,0.8382829151466646
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,16,VALID,ACC1,61.244
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,17,TRAIN,LOSS,0.8520480128719528
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,17,TRAIN,ACC1,62.665076923076924
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,17,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,17,VALID,LOSS,0.8417322232452895
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,17,VALID,ACC1,61.90800000000001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,18,TRAIN,LOSS,0.8529101127339443
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,18,TRAIN,ACC1,62.75523076923078
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,18,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,18,VALID,LOSS,0.8289666525202481
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,18,VALID,ACC1,62.24799999999999
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,19,TRAIN,LOSS,0.850993016167707
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,19,TRAIN,ACC1,62.766
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,19,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,19,VALID,LOSS,0.829161628308019
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,19,VALID,ACC1,62.026
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,20,TRAIN,LOSS,0.8508138305592093
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,20,TRAIN,ACC1,62.791384615384615
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,20,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,20,VALID,LOSS,0.8276251180465944
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,20,VALID,ACC1,62.098
