DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,1,TRAIN,LOSS,0.94963089072042
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,1,TRAIN,ACC1,57.48661538461539
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,1,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,1,VALID,LOSS,0.899223440208664
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,1,VALID,ACC1,58.958
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,2,TRAIN,LOSS,0.908363110302705
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,2,TRAIN,ACC1,59.94830769230769
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,2,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,2,VALID,LOSS,0.8665287668712849
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,2,VALID,ACC1,60.644
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,3,TRAIN,LOSS,0.8928887201798987
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,3,TRAIN,ACC1,60.79646153846154
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,3,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,3,VALID,LOSS,0.874729371416413
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,3,VALID,ACC1,60.354
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,4,TRAIN,LOSS,0.8836646304192647
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,4,TRAIN,ACC1,61.254307692307684
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,4,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,4,VALID,LOSS,0.8539087450178874
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,4,VALID,ACC1,61.51599999999999
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,5,TRAIN,LOSS,0.8794585408320148
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,5,TRAIN,ACC1,61.396153846153844
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,5,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,5,VALID,LOSS,0.8567586974400013
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,5,VALID,ACC1,61.098000000000006
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,6,TRAIN,LOSS,0.8753854393096814
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,6,TRAIN,ACC1,61.67553846153846
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,6,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,6,VALID,LOSS,0.8464237997382753
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,6,VALID,ACC1,60.959999999999994
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,7,TRAIN,LOSS,0.8721371661727758
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,7,TRAIN,ACC1,61.67769230769231
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,7,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,7,VALID,LOSS,0.8615293073872238
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,7,VALID,ACC1,60.461999999999996
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,8,TRAIN,LOSS,0.8700507362013631
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,8,TRAIN,ACC1,61.80153846153846
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,8,HYPER,LR,0.001
yelprf,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l2,1,8,VALID,LOSS,0.8564830766235401
