DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,TRAIN,LOSS,1.4822680027806063
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,TRAIN,ACC1,37.02738461538462
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,HYPER,LR,0.05004999561787628
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,VALID,LOSS,1.0819284581777822
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,VALID,ACC1,47.331999999999994
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,TRAIN,LOSS,1.2684423196273762
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,TRAIN,ACC1,45.646307692307694
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,HYPER,LR,0.05004998470488865
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,VALID,LOSS,1.154796769474863
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,VALID,ACC1,43.066
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,TRAIN,LOSS,1.220614655863666
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,TRAIN,ACC1,47.504000000000005
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,HYPER,LR,0.05004994661485649
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,VALID,LOSS,1.0683104880600116
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,VALID,ACC1,47.55200000000001
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,TRAIN,LOSS,1.165770232526411
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,TRAIN,ACC1,48.76892307692307
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,HYPER,LR,0.05004981366803579
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,VALID,LOSS,1.0300473810063289
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,VALID,ACC1,48.78
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,TRAIN,LOSS,1.1557479032428322
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,TRAIN,ACC1,49.124923076923075
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,HYPER,LR,0.05004934964357667
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,VALID,LOSS,1.2257850198587903
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,VALID,ACC1,38.885999999999996
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,TRAIN,LOSS,1.13032556493126
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,TRAIN,ACC1,50.19938461538462
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,HYPER,LR,0.05004773010656488
