DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yelprf,rcnn,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,LOSS,6.989921418839303
yelprf,rcnn,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,ACC1,25.58615384615385
yelprf,rcnn,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,HYPER,LR,0.10009999123575256
yelprf,rcnn,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,LOSS,4.197595454657557
yelprf,rcnn,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,ACC1,22.862000000000005
yelprf,rcnn,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,LOSS,6.918985180386061
yelprf,rcnn,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,ACC1,26.932769230769228
yelprf,rcnn,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,HYPER,LR,0.1000999694097773
yelprf,rcnn,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,LOSS,8.401069504308689
yelprf,rcnn,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,ACC1,20.003999999999998
yelprf,rcnn,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,LOSS,6.83977037151982
yelprf,rcnn,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,ACC1,27.252461538461535
yelprf,rcnn,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,HYPER,LR,0.10009989322971298
yelprf,rcnn,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,LOSS,6.012327646396353
yelprf,rcnn,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,ACC1,21.331999999999994
yelprf,rcnn,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,LOSS,6.8276970394342085
