DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,1,TRAIN,LOSS,0.9309015644642954
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,1,TRAIN,ACC1,58.03938461538461
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,1,HYPER,LR,0.001
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,1,VALID,LOSS,0.8925158166307761
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,1,VALID,ACC1,59.05400000000001
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,2,TRAIN,LOSS,0.8812348758138207
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,2,TRAIN,ACC1,60.844769230769224
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,2,HYPER,LR,0.001
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,2,VALID,LOSS,0.8508658914787157
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,2,VALID,ACC1,61.220000000000006
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.866639407528003
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,3,TRAIN,ACC1,61.59261538461538
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,3,HYPER,LR,0.001
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,3,VALID,LOSS,0.8422791728737838
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,3,VALID,ACC1,61.904
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.8591054968593446
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,4,TRAIN,ACC1,61.92999999999999
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,4,HYPER,LR,0.001
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,4,VALID,LOSS,0.8420690203619338
