DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,1,TRAIN,LOSS,0.8886041114669341
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,1,TRAIN,ACC1,59.51261538461539
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,1,HYPER,LR,0.001
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,1,VALID,LOSS,0.8838870617384289
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,1,VALID,ACC1,59.96600000000001
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,2,TRAIN,LOSS,0.8376732236842477
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,2,TRAIN,ACC1,62.69061538461538
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,2,HYPER,LR,0.001
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,2,VALID,LOSS,0.8447910046311264
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,2,VALID,ACC1,61.614000000000004
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,3,TRAIN,LOSS,0.8206245204431489
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,3,TRAIN,ACC1,63.57261538461538
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,3,HYPER,LR,0.001
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,3,VALID,LOSS,0.8391756911352806
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,3,VALID,ACC1,61.94200000000001
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,4,TRAIN,LOSS,0.8109299824514953
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,4,TRAIN,ACC1,63.962769230769226
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,4,HYPER,LR,0.001
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,4,VALID,LOSS,0.8312391645924591
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,4,VALID,ACC1,62.2
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,5,TRAIN,LOSS,0.8036929447807858
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,5,TRAIN,ACC1,64.31784615384615
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,5,HYPER,LR,0.001
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,5,VALID,LOSS,0.8485503413537693
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,5,VALID,ACC1,61.794
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,6,TRAIN,LOSS,0.798827672199237
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,6,TRAIN,ACC1,64.46415384615385
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,6,HYPER,LR,0.001
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,6,VALID,LOSS,0.8399019701684025
yelprf,s2satt,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,6,VALID,ACC1,62.294000000000004
