DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,TRAIN,LOSS,0.9437796444887955
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,TRAIN,ACC1,56.44846153846154
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,HYPER,LR,0.05004999561787628
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,VALID,LOSS,0.9003518671020723
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,VALID,ACC1,58.846
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,TRAIN,LOSS,0.8965652635891964
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,TRAIN,ACC1,60.06400000000001
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,HYPER,LR,0.05004998470488865
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,VALID,LOSS,0.8796467466026816
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,VALID,ACC1,60.026
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,TRAIN,LOSS,0.8780169032161864
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,TRAIN,ACC1,61.023538461538465
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,HYPER,LR,0.05004994661485649
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,VALID,LOSS,0.8734441390329635
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,VALID,ACC1,60.548
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,TRAIN,LOSS,0.8676846508411221
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,TRAIN,ACC1,61.47276923076923
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,HYPER,LR,0.05004981366803579
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,VALID,LOSS,0.8697577817214558
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,VALID,ACC1,60.620000000000005
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,TRAIN,LOSS,0.8595371333257507
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,TRAIN,ACC1,61.80153846153846
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,HYPER,LR,0.05004934964357667
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,VALID,LOSS,0.8596969522873219
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,VALID,ACC1,61.094
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,TRAIN,LOSS,0.8548393072796612
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,TRAIN,ACC1,62.07246153846153
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,HYPER,LR,0.05004773010656488
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,VALID,LOSS,0.8598554166704959
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,VALID,ACC1,60.651999999999994
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,7,TRAIN,LOSS,0.8521142368040568
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,7,TRAIN,ACC1,62.30523076923077
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,7,HYPER,LR,0.050042078189044874
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,7,VALID,LOSS,0.8487166121694285
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,7,VALID,ACC1,61.227999999999994
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,8,TRAIN,LOSS,0.846393978683745
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,8,TRAIN,ACC1,62.44523076923076
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,8,HYPER,LR,0.050022361068153824
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,8,VALID,LOSS,0.854156107890953
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,8,VALID,ACC1,60.91
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,9,TRAIN,LOSS,0.8438853853177694
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,9,TRAIN,ACC1,62.63938461538461
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,9,HYPER,LR,0.04995366326683363
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,9,VALID,LOSS,0.8567997631606008
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,9,VALID,ACC1,61.33
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,10,TRAIN,LOSS,0.8404431171504354
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,10,TRAIN,ACC1,62.72123076923077
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,10,HYPER,LR,0.04971535745378577
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,10,VALID,LOSS,0.8548338841443195
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,10,VALID,ACC1,61.002
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,11,TRAIN,LOSS,0.8356918249943694
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,11,TRAIN,ACC1,62.95307692307692
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,11,HYPER,LR,0.04890113150449872
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,11,VALID,LOSS,0.8672807288332208
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,11,VALID,ACC1,60.837999999999994
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,12,TRAIN,LOSS,0.8322417474737136
