DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,LOSS,1.0241548115427475
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,ACC1,53.45184615384615
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,HYPER,LR,0.10009999123575256
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,LOSS,0.945491712158586
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,ACC1,57.14
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,LOSS,0.9936183259182856
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,ACC1,55.670923076923074
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,HYPER,LR,0.1000999694097773
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,LOSS,0.934286266343662
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,ACC1,57.59000000000001
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,LOSS,0.9887727114598006
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,ACC1,55.987538461538456
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,HYPER,LR,0.10009989322971298
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,LOSS,0.9424929958132164
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,ACC1,56.97
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,LOSS,0.983837462806119
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,ACC1,56.25584615384616
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,4,HYPER,LR,0.10009962733607158
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,LOSS,0.9212078477407302
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,ACC1,58.216
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,LOSS,0.9806517580798488
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,ACC1,56.26415384615384
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,5,HYPER,LR,0.10009869928715334
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,5,VALID,LOSS,0.91623011959452
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,5,VALID,ACC1,58.53999999999999
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,6,TRAIN,LOSS,0.9794035768340155
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,6,TRAIN,ACC1,56.39646153846154
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,6,HYPER,LR,0.10009546021312976
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,6,VALID,LOSS,0.9553254945694053
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,6,VALID,ACC1,56.769999999999996
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,7,TRAIN,LOSS,0.9780998907263356
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,7,TRAIN,ACC1,56.39907692307693
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,7,HYPER,LR,0.10008415637808975
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,7,VALID,LOSS,0.9184898511129447
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,7,VALID,ACC1,58.422
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,8,TRAIN,LOSS,0.9766201780520408
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,8,TRAIN,ACC1,56.57415384615385
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,8,HYPER,LR,0.10004472213630765
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,8,VALID,LOSS,0.9664920491818739
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,8,VALID,ACC1,56.78000000000001
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,9,TRAIN,LOSS,0.9749455276151612
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,9,TRAIN,ACC1,56.56923076923077
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,9,HYPER,LR,0.09990732653366725
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,9,VALID,LOSS,0.9173921833177804
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,9,VALID,ACC1,57.628
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,10,TRAIN,LOSS,0.9759330521046218
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,10,TRAIN,ACC1,56.64076923076924
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,10,HYPER,LR,0.09943071490757154
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,10,VALID,LOSS,0.9443943460257531
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,10,VALID,ACC1,57.45199999999999
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,11,TRAIN,LOSS,0.9725049099747304
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,11,TRAIN,ACC1,56.74523076923077
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,11,HYPER,LR,0.09780226300899744
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,11,VALID,LOSS,0.9280334903149988
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,11,VALID,ACC1,58.146
yelprf,s2satt,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,12,TRAIN,LOSS,0.9673988612604629
