DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,1,TRAIN,LOSS,0.913544020678488
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,1,TRAIN,ACC1,58.488615384615386
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,1,HYPER,LR,0.001
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,1,VALID,LOSS,0.8814965595354555
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,1,VALID,ACC1,59.397999999999996
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,2,TRAIN,LOSS,0.8618998390854727
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,2,TRAIN,ACC1,61.468923076923076
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,2,HYPER,LR,0.001
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,2,VALID,LOSS,0.8727639935046977
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,2,VALID,ACC1,59.089999999999996
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,3,TRAIN,LOSS,0.8472636340125587
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,3,TRAIN,ACC1,62.288
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,3,HYPER,LR,0.001
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,3,VALID,LOSS,0.85214490213579
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,3,VALID,ACC1,60.726
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,4,TRAIN,LOSS,0.8390377669217937
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,4,TRAIN,ACC1,62.664461538461545
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,4,HYPER,LR,0.001
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,4,VALID,LOSS,0.857547557258161
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,4,VALID,ACC1,60.24
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,5,TRAIN,LOSS,0.8344396344445677
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,5,TRAIN,ACC1,62.89707692307692
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,5,HYPER,LR,0.001
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,5,VALID,LOSS,0.846286904937977
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,5,VALID,ACC1,60.5
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,6,TRAIN,LOSS,0.831244653814498
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,6,TRAIN,ACC1,63.000307692307686
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,6,HYPER,LR,0.001
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,6,VALID,LOSS,0.8378171348642621
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,6,VALID,ACC1,61.892
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,7,TRAIN,LOSS,0.8286722727539618
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,7,TRAIN,ACC1,63.01353846153845
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,7,HYPER,LR,0.001
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,7,VALID,LOSS,0.845702658630233
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,7,VALID,ACC1,60.938
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,8,TRAIN,LOSS,0.8271299345101397
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,8,TRAIN,ACC1,63.142923076923076
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,8,HYPER,LR,0.001
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,8,VALID,LOSS,0.8470831444970237
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,8,VALID,ACC1,60.962
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,9,TRAIN,LOSS,0.8249664382072467
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,9,TRAIN,ACC1,63.308
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,9,HYPER,LR,0.001
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,9,VALID,LOSS,0.8434128137114555
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,9,VALID,ACC1,61.158
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,10,TRAIN,LOSS,0.8245638468131815
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,10,TRAIN,ACC1,63.33676923076923
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,10,HYPER,LR,0.001
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,10,VALID,LOSS,0.8434761803952484
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,10,VALID,ACC1,61.79
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,11,TRAIN,LOSS,0.8227304413711052
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,11,TRAIN,ACC1,63.406923076923086
yelprf,textrnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99_l4,1,11,HYPER,LR,0.001
