DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,LOSS,0.9892964188582849
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,ACC1,55.16476923076923
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,HYPER,LR,0.05004999561787628
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,LOSS,0.9863985930012544
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,ACC1,56.138
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,LOSS,0.9505760087536638
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,ACC1,57.94292307692308
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,HYPER,LR,0.05004998470488865
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,LOSS,0.9224219321920629
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,ACC1,58.142
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,LOSS,0.9337325170595284
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,ACC1,58.74861538461538
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,HYPER,LR,0.05004994661485649
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,LOSS,0.9401487958699587
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,ACC1,54.774
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,LOSS,0.923169365294258
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,ACC1,59.157538461538465
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,4,HYPER,LR,0.05004981366803579
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,LOSS,0.9002303505860454
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,ACC1,58.958
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,LOSS,0.9180107708189483
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,ACC1,59.33707692307693
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,5,HYPER,LR,0.05004934964357667
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,5,VALID,LOSS,0.8957988574382857
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,5,VALID,ACC1,57.763999999999996
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,6,TRAIN,LOSS,0.9126648173926274
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,6,TRAIN,ACC1,59.54261538461538
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,6,HYPER,LR,0.05004773010656488
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,6,VALID,LOSS,0.8921393403788054
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,6,VALID,ACC1,58.376000000000005
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,7,TRAIN,LOSS,0.9103628588711384
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,7,TRAIN,ACC1,59.68415384615384
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,7,HYPER,LR,0.050042078189044874
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,7,VALID,LOSS,0.8689161599022912
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,7,VALID,ACC1,59.866
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,8,TRAIN,LOSS,0.9078787085062606
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,8,TRAIN,ACC1,59.73184615384615
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,8,HYPER,LR,0.050022361068153824
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,8,VALID,LOSS,0.8730434466677044
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,8,VALID,ACC1,59.79600000000001
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,9,TRAIN,LOSS,0.9075760332317905
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,9,TRAIN,ACC1,59.74723076923076
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,9,HYPER,LR,0.04995366326683363
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,9,VALID,LOSS,0.8820270986130262
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,9,VALID,ACC1,58.962
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,10,TRAIN,LOSS,0.904738941038242
yelprf,textrnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,10,TRAIN,ACC1,59.94553846153846
