DATA,MODEL,OPTIM,EXECUTION,EPOCH,TRAIN LOSS,TRAIN ACC1,VALID LOSS,VALID ACC1
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nf,1,10,0.3480084299281898,88.33166666666666,0.2934914380348229,90.01315789473685
cifar10,resnet50,sgd_l0.005_e100_w0.0001_m0.9_nf,1,100,0.03590718423679471,98.774,0.4227029887998477,90.62
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nt_a25_b0.7,1,18,0.2934713245111316,90.40416666666668,0.2679191248452061,91.0
agnews,rcnn,rmsprop_l0.0001_e20_w0.0001_m0_cf_a0.99,1,14,0.2262555749783436,92.69,0.2917815779239609,89.7105263157895
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,18,0.3635359329554755,87.69666666666667,0.3171045580445693,89.01315789473685
agnews,rcnn,adam_l0.0001_e20_w0.0001_at_bf0.9_bs0.99,1,17,0.23980568935182006,92.27,0.29611215268480306,89.69736842105263
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,14,0.2499951984114894,91.965,0.2915685490926186,89.7105263157895
agnews,rcnn,adagrad_l1_e20_w0.0001_d0_a0.1,1,19,0.4275779909200417,85.2075,0.433783802152794,85.28947368421052
agnews,rcnn,taso_l0.05_e20_w0.0001_m0.9_nf_a25_b0.7,1,18,0.20453537876682407,93.3475,0.2648874726012287,91.64473684210527
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,12,0.5434708933518227,80.8925,0.5944360305205137,77.14473684210526
agnews,rcnn,rmsprop_l0.01_e20_w0_m0_ct_a0.99,1,6,0.5199928684145634,82.19916666666667,0.5720957891480154,79.30263157894737
agnews,rcnn,taso_l0.1_e20_w0_m0.9_nt_a25_b0.7,1,20,0.4949817944412992,83.27,0.3612449081148816,87.76315789473685
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,15,0.3051947610353133,90.14583333333334,0.29320981009241137,90.5394736842105
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0,1,88,0.12223446556210517,95.646,0.4142009801864624,89.05
agnews,rcnn,taso_l0.5_e20_w0.0001_m0.9_nf_a25_b0.7,1,20,0.7128308723171559,72.13083333333333,0.6596922533173043,69.6184210526316
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7,1,18,0.2951390248911589,90.355,0.266042674145269,91.0
agnews,rcnn,sgd_l0.001_e20_w0.0001_m0.9_nt,1,18,0.3620635402628145,87.74583333333334,0.31511785846051626,89.05263157894737
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,100,0.049172963380962616,98.34,0.3275858728080988,92.19
cifar10,resnet50,rmsprop_l0.005_e100_w0_m0_cf_a0.99,1,79,0.05179143776103854,98.244,0.4926876752436161,91.94
cifar10,resnet50,adam_l0.00001_e100_w0.0001_af_bf0.9_bs0.99,1,98,0.3221805051898956,88.556,0.5938318547725677,81.17999999999998
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,14,0.2726652013477926,92.01166666666668,0.2730377214877077,91.11842105263158
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nt,1,18,0.22451344029433565,92.96083333333334,0.3787441703830062,88.0394736842105
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nf,1,5,2.645498848227524,70.49833333333333,1.762799927540349,68.80263157894737
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,19,0.18443436756860715,94.32666666666668,0.27399884808217845,90.9605263157895
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,100,0.03252938469540328,98.93799999999999,0.5187390414232388,90.66
agnews,rcnn,rmsprop_l0.005_e20_w0_m0_cf_a0.99,1,19,0.4398850301191219,84.985,0.4335053867044809,85.5657894736842
agnews,rcnn,adam_l0.00005_e20_w0.0001_af_bf0.9_bs0.99,1,19,0.2510156512634852,91.88666666666668,0.2898433255690784,89.89473684210527
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nt_a25_b0.7,1,20,0.7942130216693005,67.37083333333334,1.0518492152219063,56.184210526315795
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,20,0.3018815600456333,90.155,0.2998650777099729,89.81578947368419
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nt,1,19,0.2810219346956307,90.925,0.28195901679205626,90.39473684210527
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,18,0.18306260220599666,94.43583333333332,0.2938091193170703,91.01315789473685
agnews,rcnn,sgd_l0.005_e20_w0_m0.9_nf,1,14,0.33911346767486955,88.70166666666668,0.28826401296959153,90.25
cifar10,resnet50,adam_l0.0005_e100_w0.0001_af_bf0.9_bs0.99,1,82,0.10874496129989623,96.19,0.30320355802178384,91.64
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,93,0.01204364355944097,99.608,0.5845037656784058,90.13
agnews,rcnn,adam_l0.0001_e20_w0_af_bf0.9_bs0.99,1,18,0.19296513872289384,93.84166666666668,0.2846186592791273,90.27631578947368
agnews,rcnn,adagrad_l0.5_e20_w0.0001_d0_a0,1,20,0.39628447740608896,86.40333333333334,0.3970128356232611,86.31578947368422
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nf,1,84,0.11655575385332108,95.928,0.2707201985836029,91.94
agnews,rcnn,adagrad_l1_e20_w0_d0_a0,1,1,,45.53666666666667,,25.0
agnews,rcnn,adagrad_l1_e20_w0.0001_d0_a0,1,1,,61.28833333333333,,25.0
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,99,0.4012765911483765,86.236,0.4986983237266541,83.47
cifar10,resnet50,adam_l0.00005_e100_w0.0001_af_bf0.9_bs0.99,1,87,0.05302526106327772,98.16,0.4278029212594032,90.05
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0,1,18,0.38258929395567465,87.24000000000002,0.2927004604049264,90.2894736842105
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nf,1,18,0.33242828093011423,88.85,0.2939186463426049,89.89473684210527
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,20,0.17899555656103688,94.30166666666666,0.3107443391800994,89.7105263157895
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0,1,17,0.2299416558175668,92.64833333333333,0.3105328431590314,88.60526315789473
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nf_a25_b0.7,1,20,0.2121454760910374,93.435,0.28996256078680194,91.56578947368419
agnews,rcnn,rmsprop_l0.0005_e20_w0.0001_m0_cf_a0.99,1,20,0.18186691628593252,94.38416666666667,0.30422144630432685,89.32894736842104
agnews,rcnn,rmsprop_l0.0005_e20_w0.0001_m0_ct_a0.99,1,16,0.19246811028450747,93.93083333333333,0.28864206024370803,89.77631578947368
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,9,34.57726191276386,31.524166666666666,30.61367305761928,36.03947368421053
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,17,0.19464669742825588,93.75083333333332,0.31400434847438474,89.27631578947368
agnews,rcnn,taso_l0.1_e20_w0.0001_m0.9_nf_a25_b0.7,1,20,0.4647351217300033,84.2275,0.3456140338850905,88.05263157894737
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0,1,20,0.6619966897728974,75.10666666666667,0.7165575009160295,64.23684210526315
agnews,rcnn,adam_l0.0001_e20_w0.0001_af_bf0.9_bs0.99,1,17,0.2154539932374979,93.00416666666666,0.25728579012247904,90.94736842105264
agnews,rcnn,adam_l0.00005_e20_w0_af_bf0.9_bs0.99,1,20,0.23314748549087916,92.46583333333334,0.2760743671203384,90.5394736842105
cifar10,resnet50,rmsprop_l0.0001_e100_w0.0001_m0_cf_a0.99,1,96,0.048075514653027056,98.354,0.35742832497358323,91.81
cifar10,resnet50,rmsprop_l0.005_e100_w0.0001_m0_cf_a0.99,1,93,0.516343423500061,82.32799999999999,0.6327921473503113,79.21000000000002
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,20,0.4873074386131941,83.3225,0.5223156065343476,81.4078947368421
agnews,rcnn,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,18,0.18767112994391055,93.93833333333332,0.25540845884585145,92.17105263157896
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,19,0.22485835307148289,93.15166666666669,0.3648981822464769,88.28947368421053
agnews,rcnn,sgd_l0.005_e20_w0_m0.9_nt,1,18,0.3183363596934521,89.27666666666669,0.2880206690207493,90.14473684210527
agnews,rcnn,taso_l1_e20_w0_m0.9_nt_a25_b0.7,1,16,4.056479785438142,30.97833333333333,3.4565512320552747,43.631578947368425
agnews,rcnn,rmsprop_l0.0005_e20_w0_m0_cf_a0.99,1,7,0.20883502643761467,93.38,0.29535750084109064,90.18421052631581
cifar10,resnet50,adagrad_l0.1_e100_w0_d0_a0,1,94,0.013582052781768144,99.50399999999999,0.580787385725975,90.54
cifar10,resnet50,sgd_l0.1_e100_w0.0001_m0.9_nf,1,87,0.1941195276093483,93.35,0.2931758503198624,90.94
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,10,0.3050852092936488,90.23166666666668,0.35027385028698343,87.63157894736841
agnews,rcnn,taso_l0.01_e20_w0_m0.9_nt_a25_b0.7,1,18,0.2869437521847075,90.75166666666668,0.2718436908041051,90.90789473684212
cifar10,resnet50,adagrad_l1_e100_w0.0001_d0_a0,1,94,0.5131261871910096,82.37400000000002,0.6860693873405457,77.62
agnews,rcnn,sgd_l0.001_e20_w0.0001_m0.9_nf,1,20,0.36403888363814224,87.70083333333334,0.3122611605512136,89.05263157894737
agnews,rcnn,taso_l0.1_e20_w0.0001_m0.9_nt_a25_b0.7,1,20,0.4605051611297743,84.46416666666667,0.35532692041123703,88.26315789473685
agnews,rcnn,taso_l0.01_e20_w0_m0.9_nf_a25_b0.7,1,20,0.2888350772485133,90.7175,0.2706759304700643,91.06578947368419
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0_cf_a0.99,1,20,0.21760029483913845,93.39916666666667,0.3035835765152053,90.67105263157896
agnews,rcnn,adagrad_l0.01_e20_w0.0001_d0_a0,1,18,0.2187138506922872,93.15083333333334,0.3011155312114457,89.9605263157895
agnews,rcnn,adam_l0.00001_e20_w0.0001_af_bf0.9_bs0.99,1,20,0.3709830644165089,88.0075,0.3550503138482867,87.67105263157896
cifar10,resnet50,rmsprop_l0.0005_e100_w0.0001_m0_cf_a0.99,1,93,0.10374843295395374,96.37,0.31446715376377105,91.33
agnews,rcnn,adagrad_l0.01_e20_w0_d0_a0,1,15,0.20592167832929814,93.615,0.28525169713274523,90.63157894736842
agnews,rcnn,rmsprop_l0.0005_e20_w0_m0_ct_a0.99,1,18,0.11765227857377028,96.87416666666668,0.3313719868170605,90.85526315789473
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_ct_a0.99,1,10,0.1790063144573423,94.94166666666666,0.280391247268916,91.2894736842105
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,83,0.1809557745528221,93.66,0.32644105908870696,90.12
agnews,rcnn,rmsprop_l0.005_e20_w0.0001_m0_ct_a0.99,1,19,0.4603726342445078,84.06,0.4979879398776113,83.0
agnews,rcnn,adagrad_l0.05_e20_w0.0001_d0_a0,1,14,0.2355447837945371,92.4425,0.30994882809637725,89.25
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,2,2.9378922591424783,66.53666666666666,1.8940778498720148,65.22368421052633
agnews,rcnn,taso_l0.5_e20_w0.0001_m0.9_nt_a25_b0.7,1,20,0.7722193909269194,68.92166666666665,0.7473761372599643,65.61842105263158
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_ct_a0.99,1,6,0.5433451717459116,81.06,0.6237263570193433,75.67105263157895
cifar10,resnet50,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,99,0.0233727869656682,99.24,0.4635013350963593,92.36
agnews,rcnn,adam_l0.00001_e20_w0.0001_at_bf0.9_bs0.99,1,20,0.4195195625889095,86.41666666666666,0.372811333846294,87.38157894736842
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,14,0.3148696232412448,89.58666666666667,0.2952722341778111,89.94736842105263
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0_ct_a0.99,1,19,0.21312878620357384,93.4825,0.2903563119347779,90.40789473684212
agnews,rcnn,adam_l0.0001_e20_w0_at_bf0.9_bs0.99,1,20,0.22078874899376547,92.99333333333333,0.2854547751881599,90.72368421052632
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,19,0.21464098059363748,93.43333333333334,0.2859686863112128,90.80263157894736
agnews,rcnn,taso_l0.1_e20_w0_m0.9_nf_a25_b0.7,1,20,0.5065820836514031,82.71083333333334,0.3621704686042525,87.8421052631579
cifar10,resnet50,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,85,0.059763084901720276,98.044,0.4571642490237952,91.4
agnews,rcnn,rmsprop_l0.005_e20_w0.0001_m0_cf_a0.99,1,4,0.4625311066993497,83.85666666666667,0.4881394372604426,82.9342105263158
agnews,rcnn,adam_l0.00005_e20_w0.0001_at_bf0.9_bs0.99,1,20,0.27999422784971434,91.02083333333331,0.2992549099047693,89.35526315789473
