DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,1,TRAIN,LOSS,0.4586614057205403
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,1,TRAIN,ACC1,83.64416666666666
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,1,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,1,VALID,LOSS,0.37425435317835626
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,1,VALID,ACC1,87.22368421052632
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,2,TRAIN,LOSS,0.3989519308463686
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,2,TRAIN,ACC1,86.4525
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,2,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,2,VALID,LOSS,0.3474732141096497
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,2,VALID,ACC1,88.11842105263158
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,3,TRAIN,LOSS,0.3697282817460893
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,3,TRAIN,ACC1,87.6675
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,3,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,3,VALID,LOSS,0.43267806855767493
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,3,VALID,ACC1,83.61842105263158
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,4,TRAIN,LOSS,0.3445745027037116
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,4,TRAIN,ACC1,88.53750000000001
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,4,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,4,VALID,LOSS,0.42539265378040453
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,4,VALID,ACC1,84.23684210526315
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,5,TRAIN,LOSS,0.32498386421466285
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,5,TRAIN,ACC1,89.29583333333333
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,5,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,5,VALID,LOSS,0.35457175738720054
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,5,VALID,ACC1,87.64473684210526
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,6,TRAIN,LOSS,0.309241673931379
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,6,TRAIN,ACC1,89.89583333333333
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,6,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,6,VALID,LOSS,0.3680733210136767
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,6,VALID,ACC1,86.40789473684211
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,7,TRAIN,LOSS,0.29696404916129565
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,7,TRAIN,ACC1,90.41583333333332
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,7,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,7,VALID,LOSS,0.36341026388591025
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,7,VALID,ACC1,87.0
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,8,TRAIN,LOSS,0.2862166700182504
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,8,TRAIN,ACC1,90.84916666666668
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,8,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,8,VALID,LOSS,0.3443669253715658
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,8,VALID,ACC1,87.78947368421053
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,9,TRAIN,LOSS,0.2777605072486054
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,9,TRAIN,ACC1,91.00833333333334
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,9,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,9,VALID,LOSS,0.3476029072106639
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,9,VALID,ACC1,87.52631578947368
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,10,TRAIN,LOSS,0.26743799970506316
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,10,TRAIN,ACC1,91.3425
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,10,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,10,VALID,LOSS,0.31814119722710477
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,10,VALID,ACC1,88.59210526315789
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,11,TRAIN,LOSS,0.2595783852207172
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,11,TRAIN,ACC1,91.625
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,11,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,11,VALID,LOSS,0.32652456264253527
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,11,VALID,ACC1,88.36842105263159
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,12,TRAIN,LOSS,0.25604781227005696
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,12,TRAIN,ACC1,91.82916666666668
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,12,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,12,VALID,LOSS,0.3255761020011735
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,12,VALID,ACC1,88.78947368421053
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,13,TRAIN,LOSS,0.24657303629289898
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,13,TRAIN,ACC1,92.03916666666667
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,13,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,13,VALID,LOSS,0.36021372506257726
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,13,VALID,ACC1,87.13157894736842
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,14,TRAIN,LOSS,0.2406021214808549
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,14,TRAIN,ACC1,92.23416666666667
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,14,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,14,VALID,LOSS,0.301697921550365
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,14,VALID,ACC1,89.51315789473684
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,15,TRAIN,LOSS,0.23622755353133265
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,15,TRAIN,ACC1,92.51
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,15,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,15,VALID,LOSS,0.34097539117527337
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,15,VALID,ACC1,88.42105263157895
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,16,TRAIN,LOSS,0.23166639781596232
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,16,TRAIN,ACC1,92.61500000000001
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,16,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,16,VALID,LOSS,0.2867358133525373
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,16,VALID,ACC1,90.1842105263158
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,17,TRAIN,LOSS,0.22425473630897666
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,17,TRAIN,ACC1,92.82000000000001
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,17,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,17,VALID,LOSS,0.2901224689384993
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,17,VALID,ACC1,90.13157894736842
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,18,TRAIN,LOSS,0.22097509811084184
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,18,TRAIN,ACC1,93.04166666666667
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,18,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,18,VALID,LOSS,0.3318603279689706
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,18,VALID,ACC1,88.82894736842105
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,19,TRAIN,LOSS,0.21424352874521818
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,19,TRAIN,ACC1,93.15
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,19,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,19,VALID,LOSS,0.31008895759580546
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,19,VALID,ACC1,89.47368421052632
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,20,TRAIN,LOSS,0.21189314755689598
agnews,rcnn,adagrad_l0.1_e20_w0.0001_d0_a0.1,1,20,TRAIN,ACC1,93.28666666666666
