DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,1,TRAIN,LOSS,0.45994180143173236
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,1,TRAIN,ACC1,83.69666666666666
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,1,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,1,VALID,LOSS,0.38162379151459136
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,1,VALID,ACC1,87.35526315789474
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,2,TRAIN,LOSS,0.39920451364591286
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,2,TRAIN,ACC1,86.4275
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,2,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,2,VALID,LOSS,0.34850419164110064
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,2,VALID,ACC1,88.1578947368421
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,3,TRAIN,LOSS,0.3706619601621254
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,3,TRAIN,ACC1,87.60083333333333
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,3,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,3,VALID,LOSS,0.44118826998297805
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,3,VALID,ACC1,83.84210526315789
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,4,TRAIN,LOSS,0.3415237797118795
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,4,TRAIN,ACC1,88.59333333333333
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,4,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,4,VALID,LOSS,0.3961137990608404
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,4,VALID,ACC1,85.5657894736842
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,5,TRAIN,LOSS,0.32224023718525746
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,5,TRAIN,ACC1,89.49000000000001
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,5,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,5,VALID,LOSS,0.3638696717376673
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,5,VALID,ACC1,86.8421052631579
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,6,TRAIN,LOSS,0.30269449829348477
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,6,TRAIN,ACC1,90.20333333333333
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,6,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,6,VALID,LOSS,0.34300047155931285
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,6,VALID,ACC1,88.0
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,7,TRAIN,LOSS,0.2851592820001776
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,7,TRAIN,ACC1,90.77083333333333
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,7,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,7,VALID,LOSS,0.35088700461169187
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,7,VALID,ACC1,87.82894736842105
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,8,TRAIN,LOSS,0.2771495306426328
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,8,TRAIN,ACC1,91.12833333333333
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,8,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,8,VALID,LOSS,0.3054970323613007
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,8,VALID,ACC1,89.0657894736842
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,9,TRAIN,LOSS,0.26481721435267763
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,9,TRAIN,ACC1,91.55416666666667
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,9,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,9,VALID,LOSS,0.31381523656339444
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,9,VALID,ACC1,89.32894736842105
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,10,TRAIN,LOSS,0.25190235895439334
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,10,TRAIN,ACC1,91.96166666666666
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,10,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,10,VALID,LOSS,0.3243750758994192
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,10,VALID,ACC1,88.4342105263158
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,11,TRAIN,LOSS,0.24079078388374348
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,11,TRAIN,ACC1,92.36333333333333
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,11,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,11,VALID,LOSS,0.2925067944598125
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,11,VALID,ACC1,90.25
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,12,TRAIN,LOSS,0.23375684587575452
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,12,TRAIN,ACC1,92.59416666666667
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,12,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,12,VALID,LOSS,0.312100992579284
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,12,VALID,ACC1,89.59210526315789
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,13,TRAIN,LOSS,0.22322272597386028
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,13,TRAIN,ACC1,92.86999999999999
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,13,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,13,VALID,LOSS,0.28326418580519824
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,13,VALID,ACC1,90.73684210526316
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,14,TRAIN,LOSS,0.2147416570673411
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,14,TRAIN,ACC1,93.27583333333334
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,14,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,14,VALID,LOSS,0.3009664551338173
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,14,VALID,ACC1,90.34210526315789
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,15,TRAIN,LOSS,0.20817101054621362
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,15,TRAIN,ACC1,93.5925
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,15,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,15,VALID,LOSS,0.2916362807800136
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,15,VALID,ACC1,90.65789473684211
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,16,TRAIN,LOSS,0.20102718928500798
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,16,TRAIN,ACC1,93.7775
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,16,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,16,VALID,LOSS,0.31287129603490954
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,16,VALID,ACC1,89.85526315789474
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,17,TRAIN,LOSS,0.19038477317291858
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,17,TRAIN,ACC1,94.05166666666666
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,17,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,17,VALID,LOSS,0.30360451018569923
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,17,VALID,ACC1,90.4342105263158
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,18,TRAIN,LOSS,0.18306260220599666
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,18,TRAIN,ACC1,94.43583333333333
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,18,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,18,VALID,LOSS,0.29380911931707027
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,18,VALID,ACC1,91.01315789473684
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,19,TRAIN,LOSS,0.17754134333436514
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,19,TRAIN,ACC1,94.6075
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,19,HYPER,LR,0.1
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,19,VALID,LOSS,0.31862418188543146
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,19,VALID,ACC1,90.01315789473684
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,20,TRAIN,LOSS,0.17181471267535336
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,20,TRAIN,ACC1,94.83916666666666
agnews,rcnn,adagrad_l0.1_e20_w0_d0_a0.1,1,20,HYPER,LR,0.1
