DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,1,TRAIN,LOSS,0.940728675953761
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,1,TRAIN,ACC1,67.84583333333333
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,1,HYPER,LR,1.0
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,1,VALID,LOSS,0.8706525860157215
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,1,VALID,ACC1,54.21052631578947
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,2,TRAIN,LOSS,0.6731927182929001
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,2,TRAIN,ACC1,75.59166666666667
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,2,HYPER,LR,1.0
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,2,VALID,LOSS,0.8384941188720259
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,2,VALID,ACC1,60.80263157894736
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,3,TRAIN,LOSS,0.6204823117694442
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,3,TRAIN,ACC1,77.8275
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,3,HYPER,LR,1.0
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,3,VALID,LOSS,0.7223696269955826
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,3,VALID,ACC1,65.05263157894736
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,4,TRAIN,LOSS,0.5923268094156791
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,4,TRAIN,ACC1,78.84083333333334
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,4,HYPER,LR,1.0
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,4,VALID,LOSS,0.7913394651115434
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,4,VALID,ACC1,59.65789473684211
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,5,TRAIN,LOSS,0.5793115431545368
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,5,TRAIN,ACC1,79.3925
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,5,HYPER,LR,1.0
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,5,VALID,LOSS,0.6912228973660534
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,5,VALID,ACC1,64.73684210526316
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,6,TRAIN,LOSS,0.5568128791743647
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,6,TRAIN,ACC1,80.53583333333334
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,6,HYPER,LR,1.0
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,6,VALID,LOSS,0.7382102115940098
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,6,VALID,ACC1,60.723684210526315
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,7,TRAIN,LOSS,0.5428698984941175
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,7,TRAIN,ACC1,81.14666666666666
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,7,HYPER,LR,1.0
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,7,VALID,LOSS,0.718637431792318
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,7,VALID,ACC1,65.8157894736842
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,8,TRAIN,LOSS,0.537551100035917
agnews,rcnn,adagrad_l1_e20_w0_d0_a0.1,1,8,TRAIN,ACC1,81.32416666666667
