DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adam_l0.00005_e20_w0.0001_at_bf0.9_bs0.99,1,1,TRAIN,LOSS,0.7929653299046756
agnews,rcnn,adam_l0.00005_e20_w0.0001_at_bf0.9_bs0.99,1,1,TRAIN,ACC1,69.90583333333333
agnews,rcnn,adam_l0.00005_e20_w0.0001_at_bf0.9_bs0.99,1,1,HYPER,LR,5e-05
agnews,rcnn,adam_l0.00005_e20_w0.0001_at_bf0.9_bs0.99,1,1,VALID,LOSS,0.5555118957756906
agnews,rcnn,adam_l0.00005_e20_w0.0001_at_bf0.9_bs0.99,1,1,VALID,ACC1,80.86842105263158
agnews,rcnn,adam_l0.00005_e20_w0.0001_at_bf0.9_bs0.99,1,2,TRAIN,LOSS,0.46894202599405
agnews,rcnn,adam_l0.00005_e20_w0.0001_at_bf0.9_bs0.99,1,2,TRAIN,ACC1,84.86083333333333
agnews,rcnn,adam_l0.00005_e20_w0.0001_at_bf0.9_bs0.99,1,2,HYPER,LR,5e-05
agnews,rcnn,adam_l0.00005_e20_w0.0001_at_bf0.9_bs0.99,1,2,VALID,LOSS,0.47877175138916417
agnews,rcnn,adam_l0.00005_e20_w0.0001_at_bf0.9_bs0.99,1,2,VALID,ACC1,82.26315789473684
agnews,rcnn,adam_l0.00005_e20_w0.0001_at_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.4180143960274331
agnews,rcnn,adam_l0.00005_e20_w0.0001_at_bf0.9_bs0.99,1,3,TRAIN,ACC1,86.565
agnews,rcnn,adam_l0.00005_e20_w0.0001_at_bf0.9_bs0.99,1,3,HYPER,LR,5e-05
agnews,rcnn,adam_l0.00005_e20_w0.0001_at_bf0.9_bs0.99,1,3,VALID,LOSS,0.44372923947072224
agnews,rcnn,adam_l0.00005_e20_w0.0001_at_bf0.9_bs0.99,1,3,VALID,ACC1,84.0
agnews,rcnn,adam_l0.00005_e20_w0.0001_at_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.3937317504837614
agnews,rcnn,adam_l0.00005_e20_w0.0001_at_bf0.9_bs0.99,1,4,TRAIN,ACC1,87.29416666666667
agnews,rcnn,adam_l0.00005_e20_w0.0001_at_bf0.9_bs0.99,1,4,HYPER,LR,5e-05
agnews,rcnn,adam_l0.00005_e20_w0.0001_at_bf0.9_bs0.99,1,4,VALID,LOSS,0.42177050122148996
agnews,rcnn,adam_l0.00005_e20_w0.0001_at_bf0.9_bs0.99,1,4,VALID,ACC1,85.02631578947368
