DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adam_l0.005_e10_w0_af_bf0.9_bs0.99,1,1,TRAIN,LOSS,0.4501280962498198
agnews,rcnn,adam_l0.005_e10_w0_af_bf0.9_bs0.99,1,1,TRAIN,ACC1,84.63666666666667
agnews,rcnn,adam_l0.005_e10_w0_af_bf0.9_bs0.99,1,1,HYPER,LR,0.005
agnews,rcnn,adam_l0.005_e10_w0_af_bf0.9_bs0.99,1,1,VALID,LOSS,0.3863662184778792
agnews,rcnn,adam_l0.005_e10_w0_af_bf0.9_bs0.99,1,1,VALID,ACC1,86.39473684210526
agnews,rcnn,adam_l0.005_e10_w0_af_bf0.9_bs0.99,1,2,TRAIN,LOSS,0.4273116787074521
agnews,rcnn,adam_l0.005_e10_w0_af_bf0.9_bs0.99,1,2,TRAIN,ACC1,86.10833333333333
agnews,rcnn,adam_l0.005_e10_w0_af_bf0.9_bs0.99,1,2,HYPER,LR,0.005
agnews,rcnn,adam_l0.005_e10_w0_af_bf0.9_bs0.99,1,2,VALID,LOSS,0.3748991007534146
agnews,rcnn,adam_l0.005_e10_w0_af_bf0.9_bs0.99,1,2,VALID,ACC1,87.25
agnews,rcnn,adam_l0.005_e10_w0_af_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.4264864591792002
agnews,rcnn,adam_l0.005_e10_w0_af_bf0.9_bs0.99,1,3,TRAIN,ACC1,86.14666666666666
agnews,rcnn,adam_l0.005_e10_w0_af_bf0.9_bs0.99,1,3,HYPER,LR,0.005
agnews,rcnn,adam_l0.005_e10_w0_af_bf0.9_bs0.99,1,3,VALID,LOSS,0.37917896727937506
agnews,rcnn,adam_l0.005_e10_w0_af_bf0.9_bs0.99,1,3,VALID,ACC1,87.28947368421053
