DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,1,TRAIN,LOSS,0.809257272732445
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,1,TRAIN,ACC1,75.91583333333334
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,1,HYPER,LR,0.04999999997806755
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,1,VALID,LOSS,0.49522243971475594
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,1,VALID,ACC1,82.96052631578948
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,2,TRAIN,LOSS,0.7748110266258385
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,2,TRAIN,ACC1,78.67999999999999
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,2,HYPER,LR,0.04969204467542735
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,2,VALID,LOSS,0.7862562386963252
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,2,VALID,ACC1,75.35526315789474
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,3,TRAIN,LOSS,0.6892498737723287
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,3,TRAIN,ACC1,80.87833333333333
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,3,HYPER,LR,0.04877608928468015
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,3,VALID,LOSS,0.5510251319368963
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,3,VALID,ACC1,84.96052631578948
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,4,TRAIN,LOSS,0.6121656519683188
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,4,TRAIN,ACC1,82.4475
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,4,HYPER,LR,0.04727468766742779
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,4,VALID,LOSS,0.6129333288845331
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,4,VALID,ACC1,77.65789473684211
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,5,TRAIN,LOSS,0.5579002815170198
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,5,TRAIN,ACC1,83.3475
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,5,HYPER,LR,0.04522480931435331
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,5,VALID,LOSS,0.6068839956534404
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,5,VALID,ACC1,77.88157894736842
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,6,TRAIN,LOSS,0.4935203701237759
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,6,TRAIN,ACC1,85.06333333333333
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,6,HYPER,LR,0.04267692903366563
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,6,VALID,LOSS,0.6546538228140617
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,6,VALID,ACC1,74.6842105263158
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,7,TRAIN,LOSS,0.44229088020954205
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,7,TRAIN,ACC1,86.27083333333333
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,7,HYPER,LR,0.03969378409380512
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,7,VALID,LOSS,0.49015299796152983
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,7,VALID,ACC1,82.02631578947368
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,8,TRAIN,LOSS,0.41240840618106106
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,8,TRAIN,ACC1,87.19333333333333
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,8,HYPER,LR,0.03634882942368159
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,8,VALID,LOSS,0.4636308869672799
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,8,VALID,ACC1,83.85526315789474
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,9,TRAIN,LOSS,0.3813730239425316
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,9,TRAIN,ACC1,87.92583333333333
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,9,HYPER,LR,0.03272442890854157
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,9,VALID,LOSS,0.4646954013773196
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,9,VALID,ACC1,83.27631578947368
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,10,TRAIN,LOSS,0.3517093946381306
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,10,TRAIN,ACC1,88.94166666666666
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,10,HYPER,LR,0.02890982731776347
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,10,VALID,LOSS,0.3908777860457716
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,10,VALID,ACC1,86.82894736842105
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,11,TRAIN,LOSS,0.33083821051618734
agnews,rcnn,cos_l0.05_e20_w0_m0.9_nf,1,11,TRAIN,ACC1,89.53166666666667
