DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,1,TRAIN,LOSS,28.58111052895023
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,1,TRAIN,ACC1,27.621666666666666
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,1,HYPER,LR,0.49999999978067544
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,1,VALID,LOSS,22.591355254862936
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,1,VALID,ACC1,27.28947368421053
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,2,TRAIN,LOSS,28.374801310680667
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,2,TRAIN,ACC1,26.93333333333333
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,2,HYPER,LR,0.4969204467542735
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,2,VALID,LOSS,34.46131966356106
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,2,VALID,ACC1,25.0
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,3,TRAIN,LOSS,27.30804851610456
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,3,TRAIN,ACC1,28.08666666666667
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,3,HYPER,LR,0.48776089284680146
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,3,VALID,LOSS,26.73349941093618
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,3,VALID,ACC1,25.0
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,4,TRAIN,LOSS,26.571226912920814
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,4,TRAIN,ACC1,26.506666666666668
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,4,HYPER,LR,0.47274687667427784
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,4,VALID,LOSS,31.905732484403654
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,4,VALID,ACC1,25.0
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,5,TRAIN,LOSS,25.42779913208131
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,5,TRAIN,ACC1,26.774166666666666
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,5,HYPER,LR,0.4522480931435331
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,5,VALID,LOSS,27.903028422711852
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,5,VALID,ACC1,25.0
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,6,TRAIN,LOSS,23.199594903519774
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,6,TRAIN,ACC1,28.12916666666667
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,6,HYPER,LR,0.4267692903366562
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,6,VALID,LOSS,25.077915119472664
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,6,VALID,ACC1,25.0
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,7,TRAIN,LOSS,21.19592447309232
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,7,TRAIN,ACC1,28.745833333333337
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,7,HYPER,LR,0.3969378409380512
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,7,VALID,LOSS,33.457021630913886
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,7,VALID,ACC1,25.0
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,8,TRAIN,LOSS,19.011690459669452
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,8,TRAIN,ACC1,28.599166666666665
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,8,HYPER,LR,0.3634882942368159
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,8,VALID,LOSS,25.027427213537557
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,8,VALID,ACC1,25.0
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,9,TRAIN,LOSS,16.51859583925605
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,9,TRAIN,ACC1,30.389999999999993
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,9,HYPER,LR,0.32724428908541564
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,9,VALID,LOSS,17.50265099272853
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,9,VALID,ACC1,25.013157894736835
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,10,TRAIN,LOSS,13.704668406053733
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,10,TRAIN,ACC1,33.464166666666664
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,10,HYPER,LR,0.2890982731776347
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,10,VALID,LOSS,12.734107228224993
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,10,VALID,ACC1,40.56578947368421
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,11,TRAIN,LOSS,10.545710343625915
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,11,TRAIN,ACC1,40.30583333333333
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,11,HYPER,LR,0.24998952802449112
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,11,VALID,LOSS,10.927693587332126
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,11,VALID,ACC1,32.46052631578947
agnews,rcnn,cos_l0.5_e20_w0.0001_m0.9_nt,1,12,TRAIN,LOSS,8.099062455313842
