DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,1,TRAIN,LOSS,28.262006700903292
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,1,TRAIN,ACC1,28.092499999999998
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,1,HYPER,LR,0.49999999978067544
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,1,VALID,LOSS,26.708664164528763
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,1,VALID,ACC1,26.32894736842105
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,2,TRAIN,LOSS,27.151856769523906
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,2,TRAIN,ACC1,30.391666666666662
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,2,HYPER,LR,0.4969204467542735
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,2,VALID,LOSS,37.545693919429596
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,2,VALID,ACC1,25.0
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,3,TRAIN,LOSS,26.10885016568841
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,3,TRAIN,ACC1,31.627499999999998
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,3,HYPER,LR,0.48776089284680146
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,3,VALID,LOSS,43.93064182544769
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,3,VALID,ACC1,25.0
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,4,TRAIN,LOSS,24.818556633576566
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,4,TRAIN,ACC1,31.562500000000004
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,4,HYPER,LR,0.47274687667427784
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,4,VALID,LOSS,31.50241176148857
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,4,VALID,ACC1,25.0
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,5,TRAIN,LOSS,23.422828254922933
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,5,TRAIN,ACC1,32.80083333333334
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,5,HYPER,LR,0.4522480931435331
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,5,VALID,LOSS,26.877570278535714
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,5,VALID,ACC1,25.0
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,6,TRAIN,LOSS,21.575026519310146
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,6,TRAIN,ACC1,33.08916666666667
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,6,HYPER,LR,0.4267692903366562
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,6,VALID,LOSS,21.370546246484714
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,6,VALID,ACC1,25.0
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,7,TRAIN,LOSS,19.891082863160474
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,7,TRAIN,ACC1,33.73583333333333
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,7,HYPER,LR,0.3969378409380512
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,7,VALID,LOSS,25.76213389390819
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,7,VALID,ACC1,25.0
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,8,TRAIN,LOSS,17.77295123936992
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,8,TRAIN,ACC1,34.16916666666666
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,8,HYPER,LR,0.3634882942368159
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,8,VALID,LOSS,19.202056286456372
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,8,VALID,ACC1,45.3421052631579
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,9,TRAIN,LOSS,15.526377355189647
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,9,TRAIN,ACC1,35.19166666666666
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,9,HYPER,LR,0.32724428908541564
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,9,VALID,LOSS,20.31515554874442
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,9,VALID,ACC1,33.39473684210527
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,10,TRAIN,LOSS,13.401987298696477
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,10,TRAIN,ACC1,35.699999999999996
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,10,HYPER,LR,0.2890982731776347
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,10,VALID,LOSS,17.038814117924026
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,10,VALID,ACC1,25.0
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,11,TRAIN,LOSS,11.063780568233836
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,11,TRAIN,ACC1,36.94333333333333
agnews,rcnn,cos_l0.5_e20_w0_m0.9_nt,1,11,HYPER,LR,0.24998952802449112
