DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,1,TRAIN,LOSS,76.64306176466552
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,1,TRAIN,ACC1,25.795833333333327
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,1,HYPER,LR,0.9999999995613509
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,1,VALID,LOSS,118.6319988415604
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,1,VALID,ACC1,25.0
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,2,TRAIN,LOSS,75.94889149189547
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,2,TRAIN,ACC1,25.905833333333327
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,2,HYPER,LR,0.993840893508547
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,2,VALID,LOSS,107.39373370311421
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,2,VALID,ACC1,25.0
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,3,TRAIN,LOSS,75.25003066057648
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,3,TRAIN,ACC1,25.9525
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,3,HYPER,LR,0.9755217856936029
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,3,VALID,LOSS,107.64593757511311
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,3,VALID,ACC1,25.0
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,4,TRAIN,LOSS,71.06927147268405
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,4,TRAIN,ACC1,26.009999999999998
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,4,HYPER,LR,0.9454937533485557
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,4,VALID,LOSS,76.21428692079758
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,4,VALID,ACC1,25.0
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,5,TRAIN,LOSS,68.51281788043637
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,5,TRAIN,ACC1,25.789166666666663
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,5,HYPER,LR,0.9044961862870662
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,5,VALID,LOSS,51.541676434688
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,5,VALID,ACC1,24.88157894736842
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,6,TRAIN,LOSS,62.44421972660957
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,6,TRAIN,ACC1,26.094166666666663
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,6,HYPER,LR,0.8535385806733125
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,6,VALID,LOSS,79.55633886389823
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,6,VALID,ACC1,25.0
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,7,TRAIN,LOSS,58.26490868262793
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,7,TRAIN,ACC1,25.9475
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,7,HYPER,LR,0.7938756818761024
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,7,VALID,LOSS,81.12498953882495
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,7,VALID,ACC1,25.0
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,8,TRAIN,LOSS,52.89719774001804
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,8,TRAIN,ACC1,26.215
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nf,1,8,HYPER,LR,0.7269765884736318
