DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,1,TRAIN,LOSS,58.94296362357191
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,1,TRAIN,ACC1,25.86583333333333
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,1,HYPER,LR,0.9999999995613509
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,1,VALID,LOSS,66.86454806313431
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,1,VALID,ACC1,25.0
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,2,TRAIN,LOSS,57.9316548517598
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,2,TRAIN,ACC1,26.186666666666667
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,2,HYPER,LR,0.993840893508547
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,2,VALID,LOSS,55.49329384835614
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,2,VALID,ACC1,25.0
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,3,TRAIN,LOSS,56.79502822833798
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,3,TRAIN,ACC1,26.029999999999998
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,3,HYPER,LR,0.9755217856936029
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,3,VALID,LOSS,53.68764029688256
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,3,VALID,ACC1,25.0
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,4,TRAIN,LOSS,53.64541026471099
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,4,TRAIN,ACC1,26.3
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,4,HYPER,LR,0.9454937533485557
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,4,VALID,LOSS,51.132767332989204
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,4,VALID,ACC1,25.0
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,5,TRAIN,LOSS,51.485265779706964
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,5,TRAIN,ACC1,25.966666666666672
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,5,HYPER,LR,0.9044961862870662
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,5,VALID,LOSS,49.54644529698574
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,5,VALID,ACC1,25.0
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,6,TRAIN,LOSS,47.45184337788713
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,6,TRAIN,ACC1,26.490000000000002
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,6,HYPER,LR,0.8535385806733125
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,6,VALID,LOSS,49.928145697991106
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,6,VALID,ACC1,25.0
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,7,TRAIN,LOSS,44.78937931045253
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,7,TRAIN,ACC1,26.125833333333336
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,7,HYPER,LR,0.7938756818761024
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,7,VALID,LOSS,34.43109922595652
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,7,VALID,ACC1,24.657894736842103
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,8,TRAIN,LOSS,39.656318645027284
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,8,TRAIN,ACC1,26.572499999999998
agnews,rcnn,cos_l1_e20_w0.0001_m0.9_nt,1,8,HYPER,LR,0.7269765884736318
