DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,1,TRAIN,LOSS,59.1669864872631
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,1,TRAIN,ACC1,25.90916666666667
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,1,HYPER,LR,0.9999999995613509
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,1,VALID,LOSS,51.08711215582444
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,1,VALID,ACC1,25.0
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,2,TRAIN,LOSS,58.55596576625342
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,2,TRAIN,ACC1,25.83833333333333
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,2,HYPER,LR,0.993840893508547
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,2,VALID,LOSS,75.9310774621673
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,2,VALID,ACC1,25.0
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,3,TRAIN,LOSS,56.91459023178987
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,3,TRAIN,ACC1,26.193333333333335
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,3,HYPER,LR,0.9755217856936029
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,3,VALID,LOSS,61.08164932585547
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,3,VALID,ACC1,25.0
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,4,TRAIN,LOSS,54.08046721252086
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,4,TRAIN,ACC1,26.34916666666667
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,4,HYPER,LR,0.9454937533485557
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,4,VALID,LOSS,44.75489696416165
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,4,VALID,ACC1,25.0
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,5,TRAIN,LOSS,50.54502489636695
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,5,TRAIN,ACC1,28.23416666666667
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,5,HYPER,LR,0.9044961862870662
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,5,VALID,LOSS,48.942312874279246
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,5,VALID,ACC1,25.0
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,6,TRAIN,LOSS,47.151185163047174
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,6,TRAIN,ACC1,28.244999999999997
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,6,HYPER,LR,0.8535385806733125
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,6,VALID,LOSS,63.0279044273196
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,6,VALID,ACC1,25.0
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,7,TRAIN,LOSS,42.95067381336637
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,7,TRAIN,ACC1,29.18666666666667
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,7,HYPER,LR,0.7938756818761024
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,7,VALID,LOSS,27.671593525063198
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,7,VALID,ACC1,39.776315789473685
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,8,TRAIN,LOSS,38.54126594626556
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,8,TRAIN,ACC1,29.402499999999996
agnews,rcnn,cos_l1_e20_w0_m0.9_nt,1,8,HYPER,LR,0.7269765884736318
