DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nf_l-6_u3,1,1,TRAIN,LOSS,0.4733606202453818
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nf_l-6_u3,1,1,TRAIN,ACC1,82.9625
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nf_l-6_u3,1,1,HYPER,LR,0.00999993854350628
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nf_l-6_u3,1,1,VALID,LOSS,0.4393137909532185
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nf_l-6_u3,1,1,VALID,ACC1,84.44736842105263
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nf_l-6_u3,1,2,TRAIN,LOSS,0.4295507187670958
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nf_l-6_u3,1,2,TRAIN,ACC1,85.17166666666667
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nf_l-6_u3,1,2,HYPER,LR,0.009999848842772757
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nf_l-6_u3,1,2,VALID,LOSS,0.45732259782422635
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nf_l-6_u3,1,2,VALID,ACC1,83.13157894736842
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nf_l-6_u3,1,3,TRAIN,LOSS,0.416863281102904
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nf_l-6_u3,1,3,TRAIN,ACC1,85.53916666666666
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nf_l-6_u3,1,3,HYPER,LR,0.009999628221416134
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nf_l-6_u3,1,3,VALID,LOSS,0.3854665172871162
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nf_l-6_u3,1,3,VALID,ACC1,87.05263157894737
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nf_l-6_u3,1,4,TRAIN,LOSS,0.4003904984664329
