DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nt_l-6_u3,1,1,TRAIN,LOSS,0.47130794877221466
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nt_l-6_u3,1,1,TRAIN,ACC1,83.07416666666667
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nt_l-6_u3,1,1,HYPER,LR,0.00999993854350628
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nt_l-6_u3,1,1,VALID,LOSS,0.44406297070849177
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nt_l-6_u3,1,1,VALID,ACC1,84.35526315789474
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nt_l-6_u3,1,2,TRAIN,LOSS,0.4272008158361341
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nt_l-6_u3,1,2,TRAIN,ACC1,85.33416666666666
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nt_l-6_u3,1,2,HYPER,LR,0.009999848842772757
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nt_l-6_u3,1,2,VALID,LOSS,0.4830557368481785
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nt_l-6_u3,1,2,VALID,ACC1,81.77631578947368
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nt_l-6_u3,1,3,TRAIN,LOSS,0.41248153521637676
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nt_l-6_u3,1,3,TRAIN,ACC1,85.71166666666666
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nt_l-6_u3,1,3,HYPER,LR,0.009999628221416134
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nt_l-6_u3,1,3,VALID,LOSS,0.40806732449097094
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nt_l-6_u3,1,3,VALID,ACC1,85.98684210526316
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nt_l-6_u3,1,4,TRAIN,LOSS,0.39878214537332335
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nt_l-6_u3,1,4,TRAIN,ACC1,86.2375
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nt_l-6_u3,1,4,HYPER,LR,0.009999085621857116
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nt_l-6_u3,1,4,VALID,LOSS,0.34332370982088994
agnews,rcnn,htd_l0.01_e20_w0.0001_m0.9_nt_l-6_u3,1,4,VALID,ACC1,88.36842105263159
