DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,1,TRAIN,LOSS,0.4745090601176808
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,1,TRAIN,ACC1,82.94
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,1,HYPER,LR,0.00999993854350628
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,1,VALID,LOSS,0.4468528992385557
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,1,VALID,ACC1,84.10526315789474
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,2,TRAIN,LOSS,0.42892232012398557
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,2,TRAIN,ACC1,85.16333333333334
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,2,HYPER,LR,0.009999848842772757
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,2,VALID,LOSS,0.4335535252212051
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,2,VALID,ACC1,84.64473684210526
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,3,TRAIN,LOSS,0.41295111586097555
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,3,TRAIN,ACC1,85.69416666666667
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,3,HYPER,LR,0.009999628221416134
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,3,VALID,LOSS,0.3561949323455558
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,3,VALID,ACC1,88.28947368421053
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,4,TRAIN,LOSS,0.39407869884938074
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,4,TRAIN,ACC1,86.57916666666667
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,4,HYPER,LR,0.009999085621857116
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,4,VALID,LOSS,0.3431262493403341
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,4,VALID,ACC1,88.3421052631579
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,5,TRAIN,LOSS,0.3832202900298659
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,5,TRAIN,ACC1,87.065
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,5,HYPER,LR,0.009997751292794012
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,5,VALID,LOSS,0.3556670741916318
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,5,VALID,ACC1,87.63157894736841
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,6,TRAIN,LOSS,0.37491830950403077
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,6,TRAIN,ACC1,87.36833333333334
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,6,HYPER,LR,0.00999447088753644
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,6,VALID,LOSS,0.3528752519332897
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,6,VALID,ACC1,87.98684210526315
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,7,TRAIN,LOSS,0.36920454654648344
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,7,TRAIN,ACC1,87.51916666666666
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,7,HYPER,LR,0.009986411544087522
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,7,VALID,LOSS,0.36585481843592815
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,7,VALID,ACC1,87.1578947368421
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,8,TRAIN,LOSS,0.3601536997453146
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,8,TRAIN,ACC1,87.92333333333333
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,8,HYPER,LR,0.009966643949127671
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,8,VALID,LOSS,0.4100692119417828
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,8,VALID,ACC1,85.11842105263158
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,9,TRAIN,LOSS,0.3527095951813836
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,9,TRAIN,ACC1,88.20083333333332
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,9,HYPER,LR,0.009918354855910052
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,9,VALID,LOSS,0.3281784944202191
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,9,VALID,ACC1,88.39473684210526
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,10,TRAIN,LOSS,0.34174067340205116
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,10,TRAIN,ACC1,88.5625
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,10,HYPER,LR,0.00980155026527722
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,10,VALID,LOSS,0.30157717969132575
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,10,VALID,ACC1,89.64473684210526
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,11,TRAIN,LOSS,0.3337886186265342
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,11,TRAIN,ACC1,88.9075
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,11,HYPER,LR,0.009525632832463446
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,11,VALID,LOSS,0.32790917568768196
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,11,VALID,ACC1,88.42105263157895
agnews,rcnn,htd_l0.01_e20_w0_m0.9_nf_l-6_u3,1,12,TRAIN,LOSS,0.32565182040175744
