DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nf_l-6_u3,1,1,TRAIN,LOSS,77.59487033896667
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nf_l-6_u3,1,1,TRAIN,ACC1,25.716666666666665
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nf_l-6_u3,1,1,HYPER,LR,0.9999938543506279
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nf_l-6_u3,1,1,VALID,LOSS,88.04055652694531
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nf_l-6_u3,1,1,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nf_l-6_u3,1,2,TRAIN,LOSS,78.40172545803101
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nf_l-6_u3,1,2,TRAIN,ACC1,25.722500000000004
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nf_l-6_u3,1,2,HYPER,LR,0.9999848842772756
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nf_l-6_u3,1,2,VALID,LOSS,78.73997351030847
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nf_l-6_u3,1,2,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nf_l-6_u3,1,3,TRAIN,LOSS,79.09919955728273
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nf_l-6_u3,1,3,TRAIN,ACC1,25.801666666666666
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nf_l-6_u3,1,3,HYPER,LR,0.9999628221416134
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nf_l-6_u3,1,3,VALID,LOSS,119.54018846213104
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nf_l-6_u3,1,3,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nf_l-6_u3,1,4,TRAIN,LOSS,78.26930843628357
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nf_l-6_u3,1,4,TRAIN,ACC1,25.62416666666667
