DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,1,TRAIN,LOSS,58.474279174772455
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,1,TRAIN,ACC1,26.13
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,1,HYPER,LR,0.9999938543506279
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,1,VALID,LOSS,43.32347302101237
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,1,VALID,ACC1,23.868421052631582
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,2,TRAIN,LOSS,58.80115860764584
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,2,TRAIN,ACC1,26.193333333333335
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,2,HYPER,LR,0.9999848842772756
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,2,VALID,LOSS,62.08742913779295
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,2,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,3,TRAIN,LOSS,59.13681852726353
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,3,TRAIN,ACC1,26.18583333333333
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,3,HYPER,LR,0.9999628221416134
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,3,VALID,LOSS,61.208156832072376
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,3,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,4,TRAIN,LOSS,58.752489621821056
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,4,TRAIN,ACC1,26.1625
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,4,HYPER,LR,0.9999085621857116
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,4,VALID,LOSS,63.055231611440654
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,4,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,5,TRAIN,LOSS,58.78270846018247
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,5,TRAIN,ACC1,25.954166666666666
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,5,HYPER,LR,0.9997751292794013
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,5,VALID,LOSS,71.52552316707053
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,5,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,6,TRAIN,LOSS,58.55365986143975
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,6,TRAIN,ACC1,26.054166666666667
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,6,HYPER,LR,0.9994470887536441
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,6,VALID,LOSS,61.489253753930214
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,6,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,7,TRAIN,LOSS,58.82722065074926
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,7,TRAIN,ACC1,25.944166666666668
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,7,HYPER,LR,0.9986411544087521
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,7,VALID,LOSS,69.56370038196197
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,7,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,8,TRAIN,LOSS,58.82709990654022
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,8,TRAIN,ACC1,25.794166666666662
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,8,HYPER,LR,0.9966643949127671
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,8,VALID,LOSS,66.01860852363592
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,8,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,9,TRAIN,LOSS,58.34078108377602
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,9,TRAIN,ACC1,25.803333333333335
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,9,HYPER,LR,0.9918354855910052
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,9,VALID,LOSS,66.8837473570494
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,9,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,10,TRAIN,LOSS,57.0808646654105
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,10,TRAIN,ACC1,25.989166666666662
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,10,HYPER,LR,0.9801550265277219
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,10,VALID,LOSS,66.47218518984488
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,10,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,11,TRAIN,LOSS,54.017339289251396
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,11,TRAIN,ACC1,25.884166666666665
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,11,HYPER,LR,0.9525632832463446
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,11,VALID,LOSS,37.33617145785637
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,11,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,12,TRAIN,LOSS,48.239341800246045
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,12,TRAIN,ACC1,26.046666666666663
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,12,HYPER,LR,0.8908798498867033
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,12,VALID,LOSS,49.345714410532885
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,12,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,13,TRAIN,LOSS,38.47354636938331
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,13,TRAIN,ACC1,26.358333333333327
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,13,HYPER,LR,0.768482086081792
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,13,VALID,LOSS,41.770867703546514
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,13,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,14,TRAIN,LOSS,25.26467001398554
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,14,TRAIN,ACC1,27.615000000000002
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,14,HYPER,LR,0.5743838457689058
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,14,VALID,LOSS,25.133978867547068
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,14,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,15,TRAIN,LOSS,13.21156337788637
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,15,TRAIN,ACC1,32.247499999999995
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,15,HYPER,LR,0.3542887874761459
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,15,VALID,LOSS,13.749302215380293
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,15,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,16,TRAIN,LOSS,4.903780813708098
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,16,TRAIN,ACC1,46.857499999999995
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,16,HYPER,LR,0.18238973138605352
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,16,VALID,LOSS,3.668103315622981
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,16,VALID,ACC1,46.28947368421053
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,17,TRAIN,LOSS,1.7618901819044823
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,17,TRAIN,ACC1,59.119166666666665
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,17,HYPER,LR,0.08315439712488015
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,17,VALID,LOSS,2.746522401395239
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,17,VALID,ACC1,42.07894736842105
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,18,TRAIN,LOSS,0.9688182539264267
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,18,TRAIN,ACC1,66.33
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,18,HYPER,LR,0.0355629567791495
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,18,VALID,LOSS,1.5281105616256765
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,18,VALID,ACC1,44.34210526315789
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,19,TRAIN,LOSS,0.7662607534344531
agnews,rcnn,htd_l1_e20_w0.0001_m0.9_nt_l-6_u3,1,19,TRAIN,ACC1,71.00333333333333
