DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,1,TRAIN,LOSS,59.64463083274688
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,1,TRAIN,ACC1,25.795
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,1,HYPER,LR,0.9999938543506279
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,1,VALID,LOSS,60.63487123414928
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,1,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,2,TRAIN,LOSS,59.16884455074682
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,2,TRAIN,ACC1,26.356666666666662
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,2,HYPER,LR,0.9999848842772756
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,2,VALID,LOSS,52.94027069347645
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,2,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,3,TRAIN,LOSS,59.620636405905444
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,3,TRAIN,ACC1,26.00083333333333
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,3,HYPER,LR,0.9999628221416134
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,3,VALID,LOSS,61.244006189969966
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,3,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,4,TRAIN,LOSS,58.857792176946845
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,4,TRAIN,ACC1,26.12833333333333
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,4,HYPER,LR,0.9999085621857116
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,4,VALID,LOSS,64.13792605109053
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,4,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,5,TRAIN,LOSS,58.41755162183529
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,5,TRAIN,ACC1,26.682499999999997
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,5,HYPER,LR,0.9997751292794013
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,5,VALID,LOSS,57.16367231612427
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,5,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,6,TRAIN,LOSS,57.58898456779586
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,6,TRAIN,ACC1,27.787499999999998
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,6,HYPER,LR,0.9994470887536441
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,6,VALID,LOSS,66.49360138376882
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,6,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,7,TRAIN,LOSS,57.646614213162565
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,7,TRAIN,ACC1,28.874999999999996
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,7,HYPER,LR,0.9986411544087521
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,7,VALID,LOSS,65.72506173977796
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,7,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,8,TRAIN,LOSS,57.2222192886998
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,8,TRAIN,ACC1,28.44333333333333
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,8,HYPER,LR,0.9966643949127671
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,8,VALID,LOSS,71.93142492193495
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,8,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,9,TRAIN,LOSS,56.84032848709435
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,9,TRAIN,ACC1,28.3675
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,9,HYPER,LR,0.9918354855910052
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,9,VALID,LOSS,48.16977326250072
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,9,VALID,ACC1,29.328947368421055
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,10,TRAIN,LOSS,55.410957609280324
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,10,TRAIN,ACC1,28.365833333333335
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,10,HYPER,LR,0.9801550265277219
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,10,VALID,LOSS,82.58727160728304
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,10,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,11,TRAIN,LOSS,52.41621988138708
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,11,TRAIN,ACC1,28.398333333333337
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,11,HYPER,LR,0.9525632832463446
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,11,VALID,LOSS,38.43431276854088
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,11,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,12,TRAIN,LOSS,47.10404574489578
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,12,TRAIN,ACC1,28.666666666666664
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,12,HYPER,LR,0.8908798498867033
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,12,VALID,LOSS,41.881170961277334
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,12,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,13,TRAIN,LOSS,36.98739515552369
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,13,TRAIN,ACC1,29.940833333333337
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,13,HYPER,LR,0.768482086081792
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,13,VALID,LOSS,51.94058937368706
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,13,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,14,TRAIN,LOSS,24.786155306269762
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,14,TRAIN,ACC1,29.54
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,14,HYPER,LR,0.5743838457689058
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,14,VALID,LOSS,18.385316007501437
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,14,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,15,TRAIN,LOSS,13.652595653113812
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,15,TRAIN,ACC1,29.631666666666668
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,15,HYPER,LR,0.3542887874761459
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,15,VALID,LOSS,13.631389329533933
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,15,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,16,TRAIN,LOSS,6.342118612332449
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,16,TRAIN,ACC1,30.295833333333334
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,16,HYPER,LR,0.18238973138605352
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,16,VALID,LOSS,4.85024188527529
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,16,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,17,TRAIN,LOSS,2.9268733516274144
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,17,TRAIN,ACC1,30.320000000000004
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,17,HYPER,LR,0.08315439712488015
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,17,VALID,LOSS,2.8939434276703535
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,17,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,18,TRAIN,LOSS,1.7869180138850391
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,18,TRAIN,ACC1,31.424166666666665
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,18,HYPER,LR,0.0355629567791495
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,18,VALID,LOSS,2.5629864066830517
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,18,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,19,TRAIN,LOSS,1.4626846763367347
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,19,TRAIN,ACC1,32.986666666666665
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,19,HYPER,LR,0.014770538717738202
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,19,VALID,LOSS,2.0317215517991523
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,19,VALID,ACC1,25.0
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,20,TRAIN,LOSS,1.3543704991949086
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,20,TRAIN,ACC1,34.28083333333334
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,20,HYPER,LR,0.0060583561236617345
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,20,VALID,LOSS,2.1136718751926287
agnews,rcnn,htd_l1_e20_w0_m0.9_nt_l-6_u3,1,20,VALID,ACC1,25.0
