DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,1,TRAIN,LOSS,0.5107430929089117
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,1,TRAIN,ACC1,81.80583333333334
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,1,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,1,VALID,LOSS,0.6184589486225757
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,1,VALID,ACC1,77.59210526315789
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,2,TRAIN,LOSS,0.36848739968645244
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,2,TRAIN,ACC1,88.39166666666667
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,2,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,2,VALID,LOSS,0.5108331326708222
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,2,VALID,ACC1,80.5921052631579
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,3,TRAIN,LOSS,0.329242379494849
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,3,TRAIN,ACC1,89.47500000000001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,3,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,3,VALID,LOSS,0.4316623903166223
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,3,VALID,ACC1,83.5
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,4,TRAIN,LOSS,0.30883409181330385
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,4,TRAIN,ACC1,90.07000000000001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,4,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,4,VALID,LOSS,0.4632413935405445
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,4,VALID,ACC1,82.0
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,5,TRAIN,LOSS,0.294723161592374
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,5,TRAIN,ACC1,90.57416666666667
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,5,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,5,VALID,LOSS,0.4506921217826062
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,5,VALID,ACC1,82.76315789473684
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,6,TRAIN,LOSS,0.2797335984628904
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,6,TRAIN,ACC1,90.98416666666667
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,6,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,6,VALID,LOSS,0.3541369834459885
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,6,VALID,ACC1,86.51315789473684
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,7,TRAIN,LOSS,0.2699931755238437
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,7,TRAIN,ACC1,91.30083333333333
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,7,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,7,VALID,LOSS,0.380494074113968
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,7,VALID,ACC1,85.85526315789474
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,8,TRAIN,LOSS,0.2614118145020679
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,8,TRAIN,ACC1,91.55666666666666
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,8,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,8,VALID,LOSS,0.34379701167678667
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,8,VALID,ACC1,87.11842105263158
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,9,TRAIN,LOSS,0.25289862730262214
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,9,TRAIN,ACC1,91.88333333333334
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,9,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,9,VALID,LOSS,0.3776181012473273
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,9,VALID,ACC1,86.47368421052632
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_cf_a0.99,1,10,TRAIN,LOSS,0.2417350549614275
