DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,1,TRAIN,LOSS,0.5039870133743367
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,1,TRAIN,ACC1,82.07916666666667
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,1,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,1,VALID,LOSS,0.5486799278794692
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,1,VALID,ACC1,80.19736842105263
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,2,TRAIN,LOSS,0.36600863240089715
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,2,TRAIN,ACC1,88.42833333333333
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,2,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,2,VALID,LOSS,0.43707274574346555
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,2,VALID,ACC1,83.96052631578948
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,3,TRAIN,LOSS,0.32802555435405295
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,3,TRAIN,ACC1,89.45083333333334
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,3,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,3,VALID,LOSS,0.45751791286683763
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,3,VALID,ACC1,82.17105263157895
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,4,TRAIN,LOSS,0.3073459170086112
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,4,TRAIN,ACC1,90.045
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,4,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,4,VALID,LOSS,0.48298066680124785
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,4,VALID,ACC1,81.22368421052632
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,5,TRAIN,LOSS,0.2927820397015491
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,5,TRAIN,ACC1,90.62166666666667
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,5,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,5,VALID,LOSS,0.480903870743147
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,5,VALID,ACC1,81.9078947368421
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,6,TRAIN,LOSS,0.2777681450136304
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,6,TRAIN,ACC1,90.99166666666667
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,6,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,6,VALID,LOSS,0.356164210678963
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,6,VALID,ACC1,86.26315789473684
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,7,TRAIN,LOSS,0.2691704435366323
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,7,TRAIN,ACC1,91.36416666666666
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,7,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,7,VALID,LOSS,0.42001633349707074
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,7,VALID,ACC1,84.17105263157895
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,8,TRAIN,LOSS,0.25966488603511684
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,8,TRAIN,ACC1,91.64916666666667
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,8,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,8,VALID,LOSS,0.3825329087422953
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,8,VALID,ACC1,85.46052631578948
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,9,TRAIN,LOSS,0.25078921164236956
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,9,TRAIN,ACC1,91.91916666666667
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,9,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,9,VALID,LOSS,0.35481676417755126
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,9,VALID,ACC1,87.28947368421053
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,10,TRAIN,LOSS,0.23953607337129995
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,10,TRAIN,ACC1,92.215
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,10,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,10,VALID,LOSS,0.394304752539146
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,10,VALID,ACC1,85.52631578947368
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,11,TRAIN,LOSS,0.2325840396261609
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,11,TRAIN,ACC1,92.4525
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,11,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,11,VALID,LOSS,0.34596548714508835
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,11,VALID,ACC1,87.4342105263158
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,12,TRAIN,LOSS,0.22611970681533436
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,12,TRAIN,ACC1,92.66
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,12,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,12,VALID,LOSS,0.3531493579550517
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,12,VALID,ACC1,86.76315789473684
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,13,TRAIN,LOSS,0.2199478016546047
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,13,TRAIN,ACC1,92.87916666666666
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,13,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,13,VALID,LOSS,0.4145866615468741
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,13,VALID,ACC1,84.68421052631578
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,14,TRAIN,LOSS,0.21198236031872852
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,14,TRAIN,ACC1,93.1575
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,14,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,14,VALID,LOSS,0.3301467758082205
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,14,VALID,ACC1,88.60526315789474
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,15,TRAIN,LOSS,0.20688147727768086
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,15,TRAIN,ACC1,93.36416666666668
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,15,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,15,VALID,LOSS,0.33380700088946763
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,15,VALID,ACC1,87.57894736842105
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,16,TRAIN,LOSS,0.20088278670640708
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,16,TRAIN,ACC1,93.55499999999999
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,16,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,16,VALID,LOSS,0.310990824743164
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,16,VALID,ACC1,88.88157894736842
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,17,TRAIN,LOSS,0.1934008478204075
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,17,TRAIN,ACC1,93.6925
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,17,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,17,VALID,LOSS,0.3385236862349548
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,17,VALID,ACC1,88.75
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,18,TRAIN,LOSS,0.1915686583039042
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,18,TRAIN,ACC1,93.9225
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,18,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,18,VALID,LOSS,0.31331242213059596
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,18,VALID,ACC1,88.85526315789474
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,19,TRAIN,LOSS,0.1849357121876369
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,19,TRAIN,ACC1,94.0575
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,19,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,19,VALID,LOSS,0.354480581692238
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,19,VALID,ACC1,87.92105263157895
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,20,TRAIN,LOSS,0.17899555656103688
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,20,TRAIN,ACC1,94.30166666666666
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,20,HYPER,LR,0.0001
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,20,VALID,LOSS,0.3107443391800994
agnews,rcnn,rmsprop_l0.0001_e20_w0_m0_ct_a0.99,1,20,VALID,ACC1,89.71052631578948
