DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0_ct_a0.99,1,1,TRAIN,LOSS,0.38501694028637373
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0_ct_a0.99,1,1,TRAIN,ACC1,87.02416666666667
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0_ct_a0.99,1,1,HYPER,LR,0.001
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0_ct_a0.99,1,1,VALID,LOSS,0.485599280894818
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0_ct_a0.99,1,1,VALID,ACC1,80.61842105263158
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0_ct_a0.99,1,2,TRAIN,LOSS,0.32611319294266694
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0_ct_a0.99,1,2,TRAIN,ACC1,89.59916666666666
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0_ct_a0.99,1,2,HYPER,LR,0.001
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0_ct_a0.99,1,2,VALID,LOSS,0.34926453323712614
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0_ct_a0.99,1,2,VALID,ACC1,87.60526315789474
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0_ct_a0.99,1,3,TRAIN,LOSS,0.30475058667460886
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0_ct_a0.99,1,3,TRAIN,ACC1,90.31083333333333
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0_ct_a0.99,1,3,HYPER,LR,0.001
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0_ct_a0.99,1,3,VALID,LOSS,0.48679121895198707
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0_ct_a0.99,1,3,VALID,ACC1,80.82894736842105
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0_ct_a0.99,1,4,TRAIN,LOSS,0.2913820975492464
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0_ct_a0.99,1,4,TRAIN,ACC1,90.8675
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0_ct_a0.99,1,4,HYPER,LR,0.001
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0_ct_a0.99,1,4,VALID,LOSS,0.5100458214917272
