DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,1,TRAIN,LOSS,0.5791189051951331
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,1,TRAIN,ACC1,78.96916666666667
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,1,HYPER,LR,0.01
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,1,VALID,LOSS,0.7635972865435718
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,1,VALID,ACC1,66.23684210526316
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,2,TRAIN,LOSS,0.5499217325681988
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,2,TRAIN,ACC1,80.74666666666667
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,2,HYPER,LR,0.01
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,2,VALID,LOSS,0.7776457295177116
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,2,VALID,ACC1,61.82894736842105
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,3,TRAIN,LOSS,0.5411552761212038
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,3,TRAIN,ACC1,81.1875
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,3,HYPER,LR,0.01
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,3,VALID,LOSS,0.7279050135454671
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,3,VALID,ACC1,68.6842105263158
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,4,TRAIN,LOSS,0.5413288714835676
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,4,TRAIN,ACC1,81.19666666666667
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,4,HYPER,LR,0.01
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,4,VALID,LOSS,0.7143156467812279
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,4,VALID,ACC1,68.67105263157896
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,5,TRAIN,LOSS,0.5466881047206824
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,5,TRAIN,ACC1,80.885
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,5,HYPER,LR,0.01
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,5,VALID,LOSS,0.7216800012787395
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,5,VALID,ACC1,66.4078947368421
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,6,TRAIN,LOSS,0.5396315931599075
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,6,TRAIN,ACC1,81.02916666666667
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,6,HYPER,LR,0.01
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,6,VALID,LOSS,0.6939480595082511
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,6,VALID,ACC1,68.6842105263158
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,7,TRAIN,LOSS,0.541166174828935
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,7,TRAIN,ACC1,81.12333333333333
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,7,HYPER,LR,0.01
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,7,VALID,LOSS,0.683078364569106
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,7,VALID,ACC1,71.0657894736842
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,8,TRAIN,LOSS,0.5442257385178354
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,8,TRAIN,ACC1,80.92333333333333
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,8,HYPER,LR,0.01
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,8,VALID,LOSS,0.7189732380947491
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,8,VALID,ACC1,67.75
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,9,TRAIN,LOSS,0.5452368390756804
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,9,TRAIN,ACC1,80.86333333333333
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,9,HYPER,LR,0.01
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,9,VALID,LOSS,0.9238903731830069
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,9,VALID,ACC1,54.9078947368421
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,10,TRAIN,LOSS,0.543501986493299
agnews,rcnn,rmsprop_l0.01_e20_w0.0001_m0_cf_a0.99,1,10,TRAIN,ACC1,81.08916666666667
