DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,1,TRAIN,LOSS,0.659467182758354
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,1,TRAIN,ACC1,74.5625
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,1,HYPER,LR,0.001
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,1,VALID,LOSS,0.4374541804625254
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,1,VALID,ACC1,84.63157894736842
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,2,TRAIN,LOSS,0.4596731301816443
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,2,TRAIN,ACC1,84.56416666666667
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,2,HYPER,LR,0.001
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,2,VALID,LOSS,0.38168191843791516
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,2,VALID,ACC1,86.60526315789474
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,3,TRAIN,LOSS,0.4281587265469874
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,3,TRAIN,ACC1,85.59583333333333
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,3,HYPER,LR,0.001
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,3,VALID,LOSS,0.3690401298123326
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,3,VALID,ACC1,87.17105263157895
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,4,TRAIN,LOSS,0.41022090201906997
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,4,TRAIN,ACC1,86.18333333333334
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,4,HYPER,LR,0.001
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,4,VALID,LOSS,0.36200680657184126
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,4,VALID,ACC1,87.22368421052632
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,5,TRAIN,LOSS,0.402202920470874
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,5,TRAIN,ACC1,86.46333333333334
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,5,HYPER,LR,0.001
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,5,VALID,LOSS,0.3526757525001437
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,5,VALID,ACC1,87.44736842105263
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,6,TRAIN,LOSS,0.3943029934649481
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,6,TRAIN,ACC1,86.65916666666666
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,6,HYPER,LR,0.001
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,6,VALID,LOSS,0.34498162532440474
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,6,VALID,ACC1,87.8421052631579
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,7,TRAIN,LOSS,0.3901307822073877
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,7,TRAIN,ACC1,86.775
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,7,HYPER,LR,0.001
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,7,VALID,LOSS,0.34087414050504317
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,7,VALID,ACC1,87.98684210526315
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,8,TRAIN,LOSS,0.38597064980272616
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,8,TRAIN,ACC1,87.02583333333334
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,8,HYPER,LR,0.001
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,8,VALID,LOSS,0.3387039352081818
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,8,VALID,ACC1,87.97368421052632
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,9,TRAIN,LOSS,0.38307010396339164
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,9,TRAIN,ACC1,86.98
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,9,HYPER,LR,0.001
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,9,VALID,LOSS,0.3370337363712908
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nf,1,9,VALID,ACC1,88.05263157894737
