DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,1,TRAIN,LOSS,0.4800539389003856
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,1,TRAIN,ACC1,82.5075
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,1,HYPER,LR,0.005
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,1,VALID,LOSS,0.45172025031806967
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,1,VALID,ACC1,84.07894736842105
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,2,TRAIN,LOSS,0.4185824110785613
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,2,TRAIN,ACC1,85.53833333333334
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,2,HYPER,LR,0.005
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,2,VALID,LOSS,0.42867066978009966
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,2,VALID,ACC1,84.89473684210526
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,3,TRAIN,LOSS,0.4039467145406399
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,3,TRAIN,ACC1,86.1725
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,3,HYPER,LR,0.005
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,3,VALID,LOSS,0.3926488825655907
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,3,VALID,ACC1,86.72368421052632
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,4,TRAIN,LOSS,0.39358994704083994
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,4,TRAIN,ACC1,86.54583333333333
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,4,HYPER,LR,0.005
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,4,VALID,LOSS,0.3770459043858382
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,4,VALID,ACC1,87.31578947368422
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,5,TRAIN,LOSS,0.38892678364196004
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,5,TRAIN,ACC1,86.7675
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,5,HYPER,LR,0.005
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,5,VALID,LOSS,0.3622405741348896
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,5,VALID,ACC1,87.5657894736842
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,6,TRAIN,LOSS,0.3829303345400235
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,6,TRAIN,ACC1,86.8075
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,6,HYPER,LR,0.005
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,6,VALID,LOSS,0.36032810607491894
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,6,VALID,ACC1,87.71052631578947
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,7,TRAIN,LOSS,0.37926841103890724
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,7,TRAIN,ACC1,87.0375
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,7,HYPER,LR,0.005
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,7,VALID,LOSS,0.33954649588738095
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,7,VALID,ACC1,88.47368421052632
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,8,TRAIN,LOSS,0.37132353693069015
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,8,TRAIN,ACC1,87.52
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,8,HYPER,LR,0.005
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,8,VALID,LOSS,0.31930722133780043
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,8,VALID,ACC1,89.39473684210526
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,9,TRAIN,LOSS,0.36484393613363886
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,9,TRAIN,ACC1,87.70916666666668
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,9,HYPER,LR,0.005
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,9,VALID,LOSS,0.3150345899689039
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,9,VALID,ACC1,89.23684210526316
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,10,TRAIN,LOSS,0.356703654883431
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,10,TRAIN,ACC1,88.02250000000001
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,10,HYPER,LR,0.005
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,10,VALID,LOSS,0.31392644440624157
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,10,VALID,ACC1,89.07894736842105
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,11,TRAIN,LOSS,0.35036661219440557
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,11,TRAIN,ACC1,88.18916666666667
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,11,HYPER,LR,0.005
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,11,VALID,LOSS,0.3101303069415778
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,11,VALID,ACC1,89.38157894736842
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,12,TRAIN,LOSS,0.3487533449118401
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,12,TRAIN,ACC1,88.22333333333333
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,12,HYPER,LR,0.005
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,12,VALID,LOSS,0.3163820967907905
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,12,VALID,ACC1,89.14473684210526
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,13,TRAIN,LOSS,0.3444894464719201
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,13,TRAIN,ACC1,88.385
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,13,HYPER,LR,0.005
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,13,VALID,LOSS,0.3306111624714788
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,13,VALID,ACC1,88.48684210526316
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,14,TRAIN,LOSS,0.3411619732606032
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,14,TRAIN,ACC1,88.48583333333333
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,14,HYPER,LR,0.005
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,14,VALID,LOSS,0.3007051400128804
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,14,VALID,ACC1,89.71052631578948
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,15,TRAIN,LOSS,0.337196318487871
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,15,TRAIN,ACC1,88.68416666666667
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,15,HYPER,LR,0.005
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,15,VALID,LOSS,0.3415058212441629
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,15,VALID,ACC1,87.90789473684211
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,16,TRAIN,LOSS,0.33510514375303263
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,16,TRAIN,ACC1,88.75666666666666
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,16,HYPER,LR,0.005
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,16,VALID,LOSS,0.3065893358123879
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,16,VALID,ACC1,89.34210526315789
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,17,TRAIN,LOSS,0.3295645637609202
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,17,TRAIN,ACC1,89.05333333333333
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,17,HYPER,LR,0.005
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,17,VALID,LOSS,0.3186314197420888
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,17,VALID,ACC1,88.48684210526316
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,18,TRAIN,LOSS,0.32754736204243695
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,18,TRAIN,ACC1,89.0425
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,18,HYPER,LR,0.005
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,18,VALID,LOSS,0.288928821385574
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,18,VALID,ACC1,90.10526315789474
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,19,TRAIN,LOSS,0.324466834702307
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,19,TRAIN,ACC1,89.03999999999999
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,19,HYPER,LR,0.005
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,19,VALID,LOSS,0.31906177150298615
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,19,VALID,ACC1,88.61842105263158
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,20,TRAIN,LOSS,0.3242895218059288
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,20,TRAIN,ACC1,89.0925
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,20,HYPER,LR,0.005
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,20,VALID,LOSS,0.3136038424690684
agnews,rcnn,sgd_l0.005_e20_w0.0001_m0.9_nt,1,20,VALID,ACC1,88.82894736842105
