DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,1,TRAIN,LOSS,2.504800037262536
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,1,TRAIN,ACC1,64.235
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,1,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,1,VALID,LOSS,4.069046871090984
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,1,VALID,ACC1,46.75
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,2,TRAIN,LOSS,2.4433783198303516
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,2,TRAIN,ACC1,68.60083333333333
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,2,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,2,VALID,LOSS,3.0556245582321653
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,2,VALID,ACC1,54.263157894736835
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,3,TRAIN,LOSS,2.376867617131699
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,3,TRAIN,ACC1,69.73
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,3,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,3,VALID,LOSS,4.390841597465442
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,3,VALID,ACC1,47.23684210526316
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,4,TRAIN,LOSS,2.3552694234371034
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,4,TRAIN,ACC1,69.88166666666666
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,4,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,4,VALID,LOSS,2.2762245995606394
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,4,VALID,ACC1,59.31578947368421
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,5,TRAIN,LOSS,2.3210727824844195
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,5,TRAIN,ACC1,70.79666666666667
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,5,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,5,VALID,LOSS,2.434242448787732
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,5,VALID,ACC1,63.381578947368425
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,6,TRAIN,LOSS,2.2750905736574363
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,6,TRAIN,ACC1,71.73333333333333
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,6,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,6,VALID,LOSS,2.318791234492095
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,6,VALID,ACC1,60.78947368421053
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,7,TRAIN,LOSS,2.2059017298847725
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,7,TRAIN,ACC1,72.465
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,7,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,7,VALID,LOSS,3.6871708368217657
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,7,VALID,ACC1,56.44736842105262
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,8,TRAIN,LOSS,2.2142996881476162
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,8,TRAIN,ACC1,72.3925
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,8,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,8,VALID,LOSS,2.512803687941862
agnews,rcnn,sgd_l0.1_e20_w0_m0.9_nt,1,8,VALID,ACC1,58.30263157894737
