DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,1,TRAIN,LOSS,0.7471541031036217
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,1,TRAIN,ACC1,76.8975
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,1,HYPER,LR,0.05004999561787628
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,1,VALID,LOSS,0.4750169194088142
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,1,VALID,ACC1,85.42105263157896
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,2,TRAIN,LOSS,0.7159702319365923
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,2,TRAIN,ACC1,79.67
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,2,HYPER,LR,0.05004998470488865
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,2,VALID,LOSS,0.6737741472414055
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,2,VALID,ACC1,71.23684210526315
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,3,TRAIN,LOSS,0.6645529113885574
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,3,TRAIN,ACC1,81.20416666666667
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,3,HYPER,LR,0.05004994661485649
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,3,VALID,LOSS,0.5561070058349392
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,3,VALID,ACC1,82.56578947368422
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,4,TRAIN,LOSS,0.5965433749657714
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,4,TRAIN,ACC1,82.78166666666667
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,4,HYPER,LR,0.05004981366803579
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,4,VALID,LOSS,0.6201621622752276
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,4,VALID,ACC1,79.92105263157895
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,5,TRAIN,LOSS,0.5430744359427826
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,5,TRAIN,ACC1,84.05333333333334
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,5,HYPER,LR,0.05004934964357667
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,5,VALID,LOSS,0.4621923391584945
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,5,VALID,ACC1,85.27631578947367
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,6,TRAIN,LOSS,0.500210343492289
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,6,TRAIN,ACC1,85.13583333333334
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,6,HYPER,LR,0.05004773010656488
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,6,VALID,LOSS,0.5739093971170632
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,6,VALID,ACC1,79.75
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,7,TRAIN,LOSS,0.4683749271090883
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,7,TRAIN,ACC1,85.91
agnews,rcnn,taso_l0.05_e20_w0_m0.9_nt_a25_b0.7,1,7,HYPER,LR,0.050042078189044874
