DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,1,TRAIN,LOSS,2.3082087933378714
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,1,TRAIN,ACC1,65.55083333333333
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,1,HYPER,LR,0.1000999694097773
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,1,VALID,LOSS,4.079555564958072
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,1,VALID,ACC1,48.38157894736842
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,2,TRAIN,LOSS,2.3479291840885685
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,2,TRAIN,ACC1,68.71583333333334
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,2,HYPER,LR,0.10009962733607158
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,2,VALID,LOSS,3.4893029493052294
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,2,VALID,ACC1,52.21052631578947
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,3,TRAIN,LOSS,2.362329567693425
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,3,TRAIN,ACC1,69.03916666666667
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,3,HYPER,LR,0.10009546021312976
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,3,VALID,LOSS,3.4201579261960995
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,3,VALID,ACC1,50.22368421052632
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,4,TRAIN,LOSS,2.358525645600155
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,4,TRAIN,ACC1,69.5225
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,4,HYPER,LR,0.10004472213630765
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,4,VALID,LOSS,4.338011831129281
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,4,VALID,ACC1,43.43421052631579
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,5,TRAIN,LOSS,2.274090542901993
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,5,TRAIN,ACC1,69.93916666666667
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,5,HYPER,LR,0.09943071490757154
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,5,VALID,LOSS,2.0783290322922596
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,5,VALID,ACC1,60.94736842105264
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,6,TRAIN,LOSS,2.0534304065484053
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,6,TRAIN,ACC1,70.83833333333334
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,6,HYPER,LR,0.09251418199787566
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,6,VALID,LOSS,3.5141259625395977
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,6,VALID,ACC1,54.43421052631579
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,7,TRAIN,LOSS,1.059637913848028
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,7,TRAIN,ACC1,74.76083333333334
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,7,HYPER,LR,0.050100000000000006
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,7,VALID,LOSS,1.5084515689271782
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,7,VALID,ACC1,56.01315789473684
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,8,TRAIN,LOSS,0.5445985984960073
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,8,TRAIN,ACC1,81.03083333333333
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,8,HYPER,LR,0.007685818002124339
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,8,VALID,LOSS,0.605653541906544
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,8,VALID,ACC1,80.73684210526315
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,9,TRAIN,LOSS,0.4980485855861411
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,9,TRAIN,ACC1,82.8075
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,9,HYPER,LR,0.0007692850924284844
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,9,VALID,LOSS,0.38021294002472966
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,9,VALID,ACC1,87.27631578947368
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,10,TRAIN,LOSS,0.4942048549241221
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,10,TRAIN,ACC1,83.04333333333334
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,10,HYPER,LR,0.00015527786369235992
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,10,VALID,LOSS,0.36327697446767976
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nt_a25_b0.7,1,10,VALID,ACC1,87.98684210526315
