DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,LOSS,38.7118724031793
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,ACC1,25.605
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,1,HYPER,LR,0.5004998470488865
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,LOSS,51.6183443950444
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,ACC1,25.0
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,LOSS,38.07264264008908
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,ACC1,26.668333333333337
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,2,HYPER,LR,0.5004981366803579
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,LOSS,46.27937961341831
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,ACC1,25.0
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,LOSS,38.95532162375141
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,ACC1,26.616666666666667
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,3,HYPER,LR,0.5004773010656488
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,LOSS,75.41795191583343
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,ACC1,25.0
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,LOSS,39.09682476492813
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,ACC1,26.095000000000002
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,4,HYPER,LR,0.5002236106815382
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,LOSS,53.54233912368904
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,ACC1,25.0
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,LOSS,37.68205794153801
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,ACC1,26.900000000000002
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,5,HYPER,LR,0.49715357453785763
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,5,VALID,LOSS,28.883446813824925
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,5,VALID,ACC1,25.0
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,6,TRAIN,LOSS,34.4946406861021
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,6,TRAIN,ACC1,27.559999999999995
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,6,HYPER,LR,0.4625709099893783
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,6,VALID,LOSS,46.570927531603395
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,6,VALID,ACC1,25.0
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,7,TRAIN,LOSS,16.397320434293757
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,7,TRAIN,ACC1,35.407500000000006
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,7,HYPER,LR,0.2505
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,7,VALID,LOSS,17.963838226918433
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,7,VALID,ACC1,40.25
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,8,TRAIN,LOSS,2.144486540346382
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,8,TRAIN,ACC1,46.79333333333333
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,8,HYPER,LR,0.0384290900106217
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,8,VALID,LOSS,3.3335525327748594
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,8,VALID,ACC1,37.421052631578945
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,9,TRAIN,LOSS,1.0056617302594237
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,9,TRAIN,ACC1,56.3275
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,9,HYPER,LR,0.003846425462142422
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,9,VALID,LOSS,1.5959144360330082
agnews,rcnn,taso_l0.5_e10_w0.0001_m0.9_nf_a25_b0.7,1,9,VALID,ACC1,26.94736842105263
