DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,1,TRAIN,LOSS,37.46658646730876
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,1,TRAIN,ACC1,28.0575
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,1,HYPER,LR,0.5004999561787628
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,1,VALID,LOSS,56.895517106298975
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,1,VALID,ACC1,25.0
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,2,TRAIN,LOSS,36.66640682792642
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,2,TRAIN,ACC1,28.67333333333333
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,2,HYPER,LR,0.5004998470488865
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,2,VALID,LOSS,40.68483199310154
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,2,VALID,ACC1,25.0
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,3,TRAIN,LOSS,37.25284128109735
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,3,TRAIN,ACC1,28.72416666666666
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,3,HYPER,LR,0.5004994661485649
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,3,VALID,LOSS,77.88862528987094
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,3,VALID,ACC1,25.0
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,4,TRAIN,LOSS,36.972119464216924
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,4,TRAIN,ACC1,29.283333333333328
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,4,HYPER,LR,0.5004981366803579
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,4,VALID,LOSS,39.40479248467966
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,4,VALID,ACC1,25.0
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,5,TRAIN,LOSS,36.89090277546311
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,5,TRAIN,ACC1,29.00166666666667
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,5,HYPER,LR,0.5004934964357667
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,5,VALID,LOSS,43.76341668988323
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,5,VALID,ACC1,25.0
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,6,TRAIN,LOSS,35.871834292340104
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,6,TRAIN,ACC1,30.459166666666672
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,6,HYPER,LR,0.5004773010656488
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,6,VALID,LOSS,80.03538373989662
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,6,VALID,ACC1,25.0
agnews,rcnn,taso_l0.5_e20_w0_m0.9_nf_a25_b0.7,1,7,TRAIN,LOSS,35.642631416325074
